Campaign name,Ad Set Name,Ad name,Page Name,Ads,Age,Gender,City,Day,Delivery status,Delivery level,Ad Set Name (Duplicate),Attribution setting,Result type,Results,Reach,Impressions,Cost per result,Amount spent (INR),Frequency,Link clicks,CPC (cost per link click),"CPM (cost per 1,000 impressions)",CTR (all),Clicks (all),CPC (all),Conversion rate ranking,Engagement rate ranking,Quality ranking,ThruPlays,Video plays at 25%,Video plays at 50%,Video plays at 75%,Video plays at 95%,Video plays at 100%,Video average play time,Video plays,Cost per 2-second continuous video play,Cost per 3-second video play,Cost per ThruPlay,Cost per Lead,Ad name (Duplicate),Campaign name (Duplicate),Image name,Video name,Reporting starts,Reporting ends
SQL Skills Training,Retention Program Set,Ad 14,SkillUp Learning,Ad 14,45,female,Pondicherry,14-07-2024,delivering,campaign,Retention Program Set,7-day click or 1-day view,conversion,4,229,1662,46.57,181.82,2.66,17,3.35,62.19,5.78,51,5.19,Average,Below average,-,52,52,50,50,52,18,94.29,127,2.93,1.71,31.06,49.92,Ad 14,SQL Skills Training,voluptatibus_promo.png,optio.mp4,14-07-2024,08-08-2025
SQL Skills Training,Paid Media Set,Ad 7,Data Insights Academy,Ad 7,37,female,Coimbatore,26-06-2025,not_delivering,campaign,Paid Media Set,7-day click or 1-day view,conversion,14,785,2263,11.03,666.24,1.75,75,6.44,65.61,3.79,143,13.63,-,Below average,Average,6,9,7,9,5,2,21.09,15,2.58,4.29,7.64,31.26,Ad 7,SQL Skills Training,quasi_promo.png,quibusdam.mp4,26-06-2025,15-09-2025
Python for Beginners,Engagement Set,Ad 11,SkillUp Learning,Ad 11,29,female,Coimbatore,25-07-2024,delivering,adset,Engagement Set,7-day click,conversion,18,933,1770,45.57,383.43,1.05,38,14.74,52.58,4.29,93,6.17,Above average,Below average,Below average,406,570,467,450,107,224,116.24,865,3.92,2.49,4.99,30.68,Ad 11,Python for Beginners,animi_promo.png,fugit.mp4,25-07-2024,04-10-2024
Full Stack Analytics Program,Retention Program Set,Ad 2,Analytics Gurukul,Ad 2,36,male,Visakhapatnam,08-12-2024,delivering,adset,Retention Program Set,7-day click,conversion,29,315,898,30.8,534.18,1.57,64,12.43,88.93,1.49,107,3.2,Below average,Below average,Above average,29,44,55,58,28,10,11.82,90,1.37,3.31,20.92,38.31,Ad 2,Full Stack Analytics Program,tenetur_promo.png,totam.mp4,08-12-2024,08-12-2024
Python Data Science Track,Digital Marketing Set,Ad 5,Code & Data,Ad 5,40,female,Mumbai,04-01-2025,delivering,campaign,Digital Marketing Set,1-day click,conversion,5,506,1007,29.58,146.19,1.24,6,1.42,93.08,1.04,12,4.99,Below average,Average,Below average,80,326,298,118,88,35,114.06,391,4.57,3.09,23.81,46.18,Ad 5,Python Data Science Track,magnam_promo.png,quos.mp4,04-01-2025,01-02-2025
SQL Skills Training,Upsell Campaign Set,Ad 5,SkillUp Learning,Ad 5,39,male,Coimbatore,27-10-2024,delivering,campaign,Upsell Campaign Set,7-day click or 1-day view,conversion,22,382,1404,24.14,456.18,1.49,34,8.27,92.07,6.7,55,7.53,Above average,Below average,Above average,185,133,192,65,137,54,94.77,291,3.63,1.71,45.64,28.32,Ad 5,SQL Skills Training,commodi_promo.png,ducimus.mp4,27-10-2024,22-05-2025
Data Analytics Bootcamp,Upsell Campaign Set,Ad 11,SkillUp Learning,Ad 11,21,female,Trivandrum,21-09-2025,not_delivering,campaign,Upsell Campaign Set,7-day click or 1-day view,conversion,38,307,780,48.78,568.04,2.38,39,9.61,94.89,4.92,85,11.82,Average,Average,Above average,9,20,16,10,14,9,98.03,32,3.51,4.58,42.51,22.12,Ad 11,Data Analytics Bootcamp,doloremque_promo.png,itaque.mp4,21-09-2025,12-10-2025
Advanced Excel Workshop,Content Marketing Set,Ad 9,Code & Data,Ad 9,32,female,Pondicherry,24-04-2024,not_delivering,adset,Content Marketing Set,7-day click,conversion,38,103,212,24.32,562.69,1.44,81,8.9,93.6,3.32,156,12.64,Below average,Average,Below average,26,32,34,31,21,12,83.01,59,2.03,1.56,13.93,37.43,Ad 9,Advanced Excel Workshop,eius_promo.png,delectus.mp4,24-04-2024,30-09-2024
Digital Marketing Essentials,Video Ads Set,Ad 3,SkillUp Learning,Ad 3,44,female,Kochi,29-05-2024,not_delivering,campaign,Video Ads Set,7-day click,conversion,34,1131,2624,24.38,175.31,1.04,83,4.24,58.18,4.92,90,1.23,Above average,Above average,-,323,428,199,330,80,51,10.4,544,1.48,4.18,30.51,27.99,Ad 3,Digital Marketing Essentials,corporis_promo.png,quisquam.mp4,29-05-2024,02-07-2025
Python Data Science Track,Power BI Set,Ad 12,SkillUp Learning,Ad 12,25,female,Chennai,05-12-2024,delivering,ad,Power BI Set,1-day click,conversion,1,975,2093,10.77,100.28,0.6,5,12.58,68.85,3.85,13,13.09,Below average,Average,-,205,288,423,201,139,46,55.11,553,4.17,3.22,30.19,38.53,Ad 12,Python Data Science Track,rerum_promo.png,enim.mp4,05-12-2024,28-02-2025
