Property_ID,City,Locality,Country,Region,Property_Type,BHK,Bathroom_Count,Area_sqft,Price,Price_per_sqft,Floor_Number,Total_Floors,Age_Years,Facing,Furnishing,Parking,Amenities,Maintenance_Fees,Registration_Cost,Tax_Percent,Currency,Latitude,Longitude,Zone,Agent_Name,Agent_ID,Listing_Date,Listing_Channel,Lead_Score,Days_On_Market,Status,Views_Count,Inquiries_Count,Site_Visits_Count,Conversion_Probability,Description,Highlights,Nearby_Landmarks,Buyer_Sentiment
1a230222-421a-4cf5-8c4a-9aee35bd0f0a,Bangalore,Deleon Turnpike,India,North,Villa,1,1,3611,19468577,5391.464137358073,2,8,18,East,Furnished,No,Garden,6421,203723,1.3001251766165713,INR,-89.3502965,-32.463670,Zone 2,Christopher Suarez,33494,2025-03-24,Online,76,12,Available,459,95,8,0.38,Business end home again child several western.,However exactly fear.,Valeriemouth,Negative
25b81823-abb0-4c00-be54-d0ba12a1329e,Delhi,Erica Squares,India,West,Independent House,2,2,2137,14008729,6555.324754328498,10,10,16,North,Furnished,No,Garden,5418,187015,1.9306090545894947,INR,-28.233226,-116.622850,Zone 3,Julia Brewer,3640,2025-05-03,Offline,63,99,Available,447,92,30,0.78,Outside admit his move economy financial.,Game try behavior join knowledge success.,South Angelaview,Positive
b31e19bf-c581-4d44-b446-6e97ac3838a3,Chennai,Carl Mount,India,South,Apartment,4,3,2555,5638683,2206.9209393346378,3,8,19,West,Furnished,Yes,None,2324,289236,2.212120047293614,INR,-76.3896285,-102.597059,Zone 2,Yesenia Day,20866,2024-05-13,Offline,82,102,Pending,460,87,23,0.57,He them contain impact table green compare remain trade pull interesting public maybe.,Indeed industry character benefit brother.,Lake Brittany,Neutral
c6b0d618-5262-4384-bb24-a74a18712ab8,Chennai,Malone Alley,India,South,Apartment,4,4,2444,13269855,5429.5642389525365,3,4,19,West,Unfurnished,No,Gym,7468,186834,1.0406320119070773,INR,-52.4933075,86.216127,Zone 1,Helen Steele,13907,2025-09-23,Online,53,96,Sold,151,79,7,0.63,Radio direction late despite throw cause draw race.,Carry cost could policy control audience.,Christophertown,Neutral
b11cbecd-6a7f-43f5-9629-011873294c45,Bangalore,Harris Ferry,India,West,Villa,1,2,1380,17880498,12956.882608695652,3,9,19,South,Semi-Furnished,No,Garden,6658,124366,1.1973551072976154,INR,-21.9277815,-121.831070,Zone 2,Julie Hart,52848,2025-07-11,Offline,75,115,Sold,480,88,47,0.59,Because against office above green war make form rest trial late fill skin.,Song party real read attack improve sport.,Elizabethton,Negative
4c81bfc1-4b7c-4ee2-8c67-111cc95c3c59,Mumbai,Ryan Ports,India,East,Villa,3,3,1466,12530570,8547.455661664393,9,2,5,North,Semi-Furnished,Yes,Pool,2564,402377,1.9168543572246204,INR,0.821396,-36.506373,Zone 1,Lauren Lee,24447,2023-12-16,Offline,80,62,Sold,236,96,49,0.44,Notice page talk performance truth report mind order system out threat nation phone.,Perform help prevent star happen.,Brandonshire,Neutral
805d73ed-419d-4288-8fd7-b178260d530c,Hyderabad,Anna Freeway,India,West,Apartment,4,2,2960,14067281,4752.459797297297,2,1,5,East,Unfurnished,No,Gym,4583,126313,1.4885424363532052,INR,-3.9686685,94.830755,Zone 3,Michael Gardner,458,2024-02-02,Offline,54,28,Available,230,23,50,0.61,Drop learn top beat matter dinner history.,Method series seat evidence language.,Lopezville,Neutral
b2e0ac96-1b18-4ec2-bdcc-568f60505d8f,Delhi,Allen Mews,India,East,Independent House,2,3,3986,19107887,4793.749874560964,2,9,8,South,Semi-Furnished,Yes,Garden,9143,386190,1.526723570830543,INR,-41.9446385,-101.290263,Zone 1,Victoria Caldwell,37280,2024-03-27,Offline,74,35,Pending,199,57,37,0.41,Collection wear then probably public responsibility provide enjoy start.,Even young though.,East Marvinland,Negative
7fb71d2f-031d-4bea-b18f-aa73d0cf5257,Bangalore,Morales Squares,India,West,Villa,2,4,3613,5735559,1587.4782729034043,2,1,15,West,Semi-Furnished,Yes,None,2845,147245,1.372197650262263,INR,-33.8371625,1.337734,Zone 2,Robert Barnett,78662,2025-03-06,Offline,79,46,Pending,332,58,21,0.12,Develop note have beyond though there adult despite focus.,Truth into rate.,New Donnachester,Positive
105a98d5-6a6f-4bdb-8c42-3dd42c0c9518,Delhi,Ingram Flat,India,North,Villa,3,1,2763,17450888,6315.920376402461,3,3,16,South,Semi-Furnished,Yes,None,6345,442592,0.7904417919713145,INR,-73.8982205,-78.024836,Zone 1,Peter Walker,54202,2024-01-01,Offline,50,47,Sold,498,30,49,0.35,Into health major show top level.,Four force page.,Catherineview,Positive
