Property_ID,City,Locality,Country,Region,Property_Type,BHK,Bathroom_Count,Area_sqft,Price,Price_per_sqft,Floor_Number,Total_Floors,Age_Years,Facing,Furnishing,Parking,Amenities,Maintenance_Fees,Registration_Cost,Tax_Percent,Currency,Latitude,Longitude,Zone,Agent_Name,Agent_ID,Listing_Date,Listing_Channel,Lead_Score,Days_On_Market,Status,Views_Count,Inquiries_Count,Site_Visits_Count,Conversion_Probability,Description,Highlights,Nearby_Landmarks
bdd640fb-0667-4ad1-9c80-317fa3b1799d,Singapore,Sanchez Dam,Singapore,South East Asia,Apartment,1,4,6444,2734834,424,26,15,29,North,Unfurnished,Yes,"Play Area, Parking, Power Backup, Security",6221,201856,5,SGD,-62.486662,112.79143,South,Meera Singh,2424,2025-01-19,Website,73,172,Available,4760,147,44,0.81,Ahead despite measure ago current practice nation.,Last everything thank serve civil.,Peterson Drives
562b0f79-c374-49ee-b50b-ea63371ecd7b,Chiang Mai,Christopher Court,Thailand,South East Asia,Villa,2,4,1356,46955666,34628,18,27,18,East,Semi Furnished,No,"Lift, Pool",2183,260717,5,THB,6.3627925,4.659822,Central,Meera Singh,5333,2025-06-27,Broker,10,80,Hold,4757,352,69,0.02,Movie win her need stop peace technology officer relate animal direction eye bag do.,Herself law street class.,Clark Grove
a5e5a5ab-aefc-4ad8-afc8-9849b3aa7efe,Bangkok,Chelsea Extension,Thailand,South East Asia,Villa,5,1,5387,9856472,1829,1,14,19,West,Semi Furnished,No,"Gym, Parking, Power Backup, Lift, Play Area, Pool",5859,245421,12,THB,53.38208,-48.568135,East,Rahul Mehta,3677,2024-10-17,Broker,15,275,Sold,106,310,69,0.86,Writer policy news range successful simply director allow firm environment decision.,Then fire pretty how trip learn enter.,Julie Plain
6dadd6c7-95a7-4d79-bf3c-4c06434308bc,Jaipur,Cox Dam,India,South Asia,Villa,3,4,5753,19403051,3372,17,29,22,South,Fully Furnished,No,"Pool, Parking, CCTV, Security, Lift",2763,71694,12,INR,46.7749225,84.954299,East,Rahul Mehta,2489,2025-05-20,Referral,24,206,Sold,1132,461,64,0.05,Check civil quite others his other life edge.,Team activity result race Mr environment political.,Kelly Estate
b8db0672-f42d-47cc-80d4-af5974273ca3,Penang,Stanton Track,Malaysia,South East Asia,Independent House,3,4,1607,1003349,624,12,22,11,South,Fully Furnished,Yes,"Gym, Lift, Security, Pool, CCTV, Clubhouse",2670,149905,12,MYR,-42.043501,92.559523,West,Vikram Rao,2743,2025-08-12,Website,21,98,Available,2033,431,10,0.59,Success medical current hear claim well two truth out major born.,These story film around there water.,Jessica Via
885f6e66-c2b6-42c5-ba5d-310011b7e948,Dubai,David Mountains,UAE,Middle East,Row House,5,4,1130,3238616,2866,14,7,15,North,Semi Furnished,No,"Clubhouse, Security, Power Backup, Parking",3464,169124,5,AED,57.586779,-91.348139,Central,Pooja Sharma,5342,2024-12-04,Website,77,166,Available,2753,199,27,0.5,Institution deep much role cut find yet practice just military building different full open discover detail.,Remain arrive attack all.,Jones Freeway
36d8393a-7c44-4fe7-ab42-20a7474a493b,Jaipur,Jennifer Ports,India,South Asia,Apartment,1,1,3824,17597700,4601,3,25,21,West,Unfurnished,Yes,"Pool, Parking, Gym, Clubhouse",4713,142264,18,INR,64.675636,73.763327,West,Vikram Rao,4981,2025-06-10,Referral,38,293,Sold,2230,460,46,0.41,Couple best issue interest level rock pull worker better I fund technology eat.,Movie cell contain leg themselves.,Scott Wall
0cf35b58-1910-4be5-8ce2-1ea3db20a56e,Dubai,Tanya Terrace,UAE,Middle East,Row House,1,5,5803,2233393,384,21,22,22,East,Fully Furnished,No,"CCTV, Clubhouse, Parking, Gym, Play Area, Pool",838,61152,5,AED,-26.547364,-90.712404,South,Kiran Nair,7658,2024-11-04,Website,4,213,Hold,4995,482,0,0.34,Ten total clearly able hospital unit size expect recent room.,Product main couple design around save article.,Brown Prairie
da4bd9ca-eb5c-4467-80ba-cd647a0ecfea,Singapore,Brian Pass,Singapore,South East Asia,Apartment,5,2,5023,1261098,251,8,29,10,West,Semi Furnished,Yes,"Play Area, Clubhouse, Parking, Security, CCTV",829,67243,12,SGD,-68.495243,-80.235982,East,Arun Kumar,2122,2025-01-22,WhatsApp,16,199,Sold,4260,324,96,0.42,Identify walk now often always bank price north first end.,Draw how public feel first sell.,Albert Road
19985f15-ff00-4d4d-9020-59e4ff9ab5c2,Chiang Mai,Amanda Parkways,Thailand,South East Asia,Independent House,4,3,3437,44046927,12815,4,26,24,North,Unfurnished,No,"Gym, Power Backup, CCTV",2639,33954,5,THB,-18.8108055,-108.887923,Central,Vikram Rao,6718,2025-08-19,Broker,20,92,Available,4726,435,64,0.27,Hard citizen street region particularly would pressure account stage federal.,Voice care break blood.,Joseph Rapids
341ef40b-57c7-40aa-b7b5-6ea735ebd32d,Johor Bahru,Wagner Glen,Malaysia,South East Asia,Villa,1,5,6007,1051908,175,24,27,10,East,Fully Furnished,Yes,"Power Backup, Play Area, Clubhouse, CCTV",3441,142027,12,MYR,-76.3637755,-130.447639,Central,Gopal Verma,7939,2025-07-13,WhatsApp,39,117,Hold,1618,422,27,0.14,About side PM energy scientist necessary into.,Born war real.,Amy Village
25e97977-8d72-48e2-951f-58d05e84f058,Phuket,Anderson Inlet,Thailand,South East Asia,Apartment,5,5,5407,15277225,2825,12,13,23,East,Unfurnished,No,"Clubhouse, Pool, CCTV, Gym",7886,23797,5,THB,7.8853945,-158.581604,South,Kiran Nair,6862,2024-04-16,Broker,43,195,Sold,2429,290,71,0.11,Project government nice themselves wind see understand door class son.,Thing agent say forward.,Pham Way
444d610b-3f87-4362-8f8d-446abc2cbb0d,Penang,Kristin Coves,Malaysia,South East Asia,Row House,3,3,4264,498899,117,15,14,10,East,Unfurnished,No,"Lift, Clubhouse, Power Backup",4635,130295,5,MYR,12.6877615,-159.209887,South,Gopal Verma,8711,2024-04-25,WhatsApp,60,169,Available,434,220,85,0.46,Glass star the development process huge everything attorney significant go meeting quickly such former.,Boy wife condition.,Johnson Ranch
c9535b63-ba81-4dd9-987e-f3446f3f920c,Ahmedabad,Graham Pass,India,South Asia,Studio,1,2,602,24523893,40737,13,29,12,West,Unfurnished,No,"CCTV, Gym, Clubhouse, Pool, Power Backup",3407,163954,5,INR,-58.9565705,26.80022,Central,Arun Kumar,4114,2024-05-19,Website,70,119,Hold,2841,371,82,0.71,Ability understand Mrs rest score provide hair attorney professional form finish summer rest.,Medical project for recent never.,Robert Light
2c8d0e44-e71e-43a6-bf85-bf0ead64b56c,Singapore,Sullivan Village,Singapore,South East Asia,Studio,5,1,2826,727160,257,16,29,14,West,Unfurnished,Yes,"Play Area, CCTV",3463,153987,5,SGD,-89.8910315,-16.858378,East,Vikram Rao,5700,2024-04-16,Broker,40,147,Sold,1750,200,88,0.25,Parent focus kid put memory soldier where save probably exist professional people behavior weight dog financial.,Challenge animal worker particularly shoulder.,Perry Roads
b24445a7-b7e5-4481-b1c6-81ec935f2b0a,Surabaya,Snyder Gardens,Indonesia,South East Asia,Independent House,3,4,2729,1593207,583,1,9,10,South,Unfurnished,No,"Lift, Power Backup, CCTV, Clubhouse, Gym, Pool",7821,132148,5,IDR,-50.38662,172.218461,North,Meera Singh,1090,2025-08-28,Referral,52,239,Available,903,388,9,0.8,Sing despite sound receive let newspaper true building.,Soon property write other.,Salazar Stravenue
d4a02e53-6d3e-41dc-8139-2443e45b712e,Dubai,Merritt Summit,UAE,Middle East,Apartment,4,5,6206,2744248,442,2,30,5,West,Fully Furnished,No,"Security, Play Area",2322,281960,12,AED,37.4194485,61.629363,North,Gopal Verma,5246,2025-05-17,Website,61,105,Hold,3317,453,23,0.67,She miss phone ever back experience even floor music catch discuss.,Relationship ask imagine my.,Brown Village
c51155ff-e7a3-4e81-a3b4-c08b6b8e869f,Delhi,Melissa Track,India,South Asia,Villa,5,2,2833,6284688,2218,26,13,14,South,Semi Furnished,No,"Security, Clubhouse, Parking",4832,231097,5,INR,64.5357015,24.21551,North,Kiran Nair,8814,2023-11-19,Broker,15,288,Sold,3884,241,47,0.16,Fear hope through structure Mrs same son today major event magazine home.,Right subject try wonder move trade.,Christopher Meadow
2e85cb21-7631-4e9d-9de9-f86322bd3388,Phuket,Jorge Islands,Thailand,South East Asia,Row House,4,1,4577,8448073,1845,16,7,26,East,Semi Furnished,No,"Parking, Play Area, Pool, Gym, CCTV, Clubhouse",6112,81137,18,THB,-33.1828745,64.114843,West,Lina Joseph,6355,2024-07-18,Referral,91,69,Hold,993,405,84,0.89,Everything week instead strong like see appear weight difference attention whatever American.,Wear current after.,John Mountains
