Date,Employee_ID,Department,Role,Shift,Workload_Index,Past_Absence_Count,Absent_Flag,Hours_Lost,Absence_Reason,Seasonal_Factor,Absenteeism_Probability
2023-04-13,EMP_0148,HR,Technician,Evening,90,9,True,0,Family,0.0,0.24666666666666665
2023-08-03,EMP_0021,Production,Technician,Evening,60,7,False,0,None,0.15,0.29666666666666663
2023-05-11,EMP_0253,Sales,Technician,Morning,60,5,False,0,None,0.0,0.14666666666666667
2023-07-11,EMP_0083,Logistics,Technician,Night,100,11,False,0,None,0.15,0.5
2023-12-11,EMP_0233,Logistics,Helper,Morning,70,11,False,0,None,0.1,0.27
2023-07-07,EMP_0009,Maintenance,Technician,Evening,80,2,False,0,None,0.15,0.3633333333333333
2023-12-30,EMP_0277,HR,Technician,Evening,80,2,False,0,None,0.1,0.31333333333333335
2023-05-15,EMP_0276,Production,Manager,Evening,70,1,True,8,Unknown,0.0,0.13
2023-09-22,EMP_0052,HR,Helper,Morning,60,11,False,0,None,0.0,0.1366666666666667
2023-09-21,EMP_0195,Production,Technician,Evening,60,7,False,0,None,0.0,0.14666666666666667
2023-01-02,EMP_0125,HR,Supervisor,Evening,80,1,False,0,None,0.0,0.18333333333333335
2023-08-06,EMP_0165,Logistics,Operator,Evening,80,7,False,0,None,0.15,0.3833333333333333
2023-08-03,EMP_0155,Logistics,Manager,Night,80,1,False,0,None,0.15,0.3833333333333333
2023-02-22,EMP_0250,Logistics,Technician,Morning,80,8,False,0,None,0.0,0.21333333333333332
2023-06-06,EMP_0104,Sales,Operator,Morning,90,11,True,4,Unknown,0.15,0.41666666666666663
2023-05-16,EMP_0112,Maintenance,Supervisor,Morning,60,2,False,0,None,0.0,0.1166666666666667
2023-10-16,EMP_0290,Sales,Helper,Night,80,11,False,0,None,0.0,0.2733333333333333
2023-05-15,EMP_0071,Sales,Supervisor,Night,90,6,False,0,None,0.0,0.2866666666666667
2023-03-03,EMP_0124,QC,Technician,Morning,70,10,False,0,None,0.0,0.18
2023-02-04,EMP_0183,Logistics,Helper,Evening,80,9,True,4,Emergency,0.0,0.20333333333333334
2023-09-12,EMP_0281,Logistics,Technician,Night,70,11,True,0,Emergency,0.0,0.25
2023-06-28,EMP_0023,Maintenance,Helper,Night,60,3,False,0,None,0.15,0.3566666666666667
2023-08-10,EMP_0246,HR,Helper,Evening,70,3,False,0,None,0.15,0.32
2023-01-13,EMP_0029,Maintenance,Manager,Morning,60,1,False,0,None,0.0,0.09666666666666668
2023-06-19,EMP_0177,Logistics,Manager,Evening,90,11,False,0,None,0.15,0.3466666666666667
2023-04-18,EMP_0271,Sales,Supervisor,Evening,70,9,False,0,None,0.0,0.15000000000000002
2023-12-14,EMP_0034,Maintenance,Operator,Evening,80,10,False,0,None,0.1,0.33333333333333337
2023-05-01,EMP_0110,HR,Manager,Morning,90,7,False,0,None,0.0,0.19666666666666666
2023-05-17,EMP_0095,QC,Technician,Evening,80,7,False,0,None,0.0,0.21333333333333332
2023-11-11,EMP_0300,Sales,Helper,Morning,70,0,False,0,None,0.1,0.27
2023-11-14,EMP_0076,HR,Technician,Morning,100,1,False,0,None,0.1,0.38
2023-04-23,EMP_0059,Maintenance,Manager,Morning,70,1,False,0,None,0.0,0.13
2023-05-10,EMP_0168,QC,Supervisor,Night,80,1,True,0,Sick,0.0,0.25333333333333335
2023-02-22,EMP_0242,HR,Supervisor,Morning,80,3,False,0,None,0.0,0.18333333333333335
2023-07-22,EMP_0253,HR,Helper,Evening,80,1,True,0,Family,0.15,0.35333333333333333
2023-07-17,EMP_0096,Production,Operator,Night,80,8,False,0,None,0.15,0.45333333333333337
2023-05-04,EMP_0203,HR,Helper,Evening,80,11,False,0,None,0.0,0.20333333333333334
2023-12-12,EMP_0275,QC,Manager,Night,80,0,True,0,Personal,0.1,0.33333333333333337
2023-05-08,EMP_0204,QC,Manager,Night,80,8,False,0,None,0.0,0.23333333333333334
2023-05-31,EMP_0040,Maintenance,Helper,Night,80,9,False,0,None,0.0,0.2733333333333333
2023-04-22,EMP_0245,Maintenance,Helper,Evening,80,11,False,0,None,0.0,0.20333333333333334
2023-02-06,EMP_0219,Logistics,Technician,Night,90,2,True,4,Sick,0.0,0.31666666666666665
2023-06-01,EMP_0064,HR,Helper,Night,80,0,False,0,None,0.15,0.42333333333333334
2023-04-14,EMP_0030,Maintenance,Technician,Night,80,1,True,0,Sick,0.0,0.2833333333333333
2023-12-04,EMP_0107,Maintenance,Helper,Morning,80,3,False,0,None,0.1,0.30333333333333334
2023-06-10,EMP_0101,Production,Helper,Morning,60,7,False,0,None,0.15,0.2866666666666667
2023-05-15,EMP_0192,Logistics,Supervisor,Morning,90,10,False,0,None,0.0,0.21666666666666667
2023-01-22,EMP_0213,Maintenance,Helper,Night,70,5,False,0,None,0.0,0.24
2023-09-21,EMP_0163,QC,Helper,Evening,80,11,False,0,None,0.0,0.20333333333333334
2023-11-13,EMP_0300,QC,Manager,Evening,80,0,False,0,None,0.1,0.26333333333333336
2023-06-21,EMP_0266,QC,Technician,Morning,100,2,False,0,None,0.15,0.42999999999999994
2023-08-21,EMP_0009,Sales,Technician,Night,100,11,True,0,Personal,0.15,0.5
2023-04-26,EMP_0290,HR,Technician,Evening,70,2,False,0,None,0.0,0.18
2023-05-08,EMP_0040,QC,Manager,Night,80,2,False,0,None,0.0,0.23333333333333334
2023-12-26,EMP_0066,Maintenance,Helper,Evening,60,10,True,0,Emergency,0.1,0.2366666666666667
2023-09-30,EMP_0001,Maintenance,Technician,Night,90,9,True,0,Emergency,0.0,0.31666666666666665
2023-09-04,EMP_0158,HR,Supervisor,Evening,80,11,False,0,None,0.0,0.18333333333333335
2023-11-09,EMP_0178,HR,Operator,Night,80,11,True,0,Sick,0.1,0.4033333333333333
2023-05-23,EMP_0279,QC,Technician,Night,80,8,True,0,Personal,0.0,0.2833333333333333
2023-07-05,EMP_0221,QC,Technician,Morning,80,3,True,0,Personal,0.15,0.3633333333333333
2023-06-19,EMP_0043,HR,Manager,Evening,90,0,False,0,None,0.15,0.3466666666666667
2023-09-21,EMP_0100,Production,Operator,Morning,90,3,True,0,Personal,0.0,0.26666666666666666
2023-12-16,EMP_0285,Production,Supervisor,Morning,80,1,False,0,None,0.1,0.2833333333333333
2023-05-04,EMP_0007,QC,Helper,Morning,90,9,True,0,Sick,0.0,0.2366666666666667
2023-12-12,EMP_0027,HR,Manager,Evening,60,8,False,0,None,0.1,0.19666666666666668
2023-05-09,EMP_0097,Logistics,Supervisor,Morning,70,5,False,0,None,0.0,0.15000000000000002
2023-02-17,EMP_0254,Production,Helper,Night,70,6,False,0,None,0.0,0.24
2023-07-11,EMP_0254,HR,Manager,Morning,80,11,False,0,None,0.15,0.31333333333333335
2023-06-03,EMP_0177,Maintenance,Supervisor,Evening,80,11,False,0,None,0.15,0.33333333333333337
2023-03-10,EMP_0052,Logistics,Technician,Evening,60,4,False,0,None,0.0,0.14666666666666667
2023-07-23,EMP_0300,Maintenance,Helper,Night,60,3,False,0,None,0.15,0.3566666666666667
2023-10-16,EMP_0011,Production,Supervisor,Night,80,5,False,0,None,0.0,0.25333333333333335
2023-11-21,EMP_0024,Sales,Helper,Morning,90,0,True,8,Sick,0.1,0.33666666666666667
2023-11-21,EMP_0101,Production,Operator,Morning,80,1,False,0,None,0.1,0.33333333333333337
2023-06-09,EMP_0201,Sales,Operator,Night,100,11,False,0,None,0.15,0.52
2023-02-02,EMP_0037,QC,Manager,Night,80,2,False,0,None,0.0,0.23333333333333334
2023-03-06,EMP_0201,Production,Supervisor,Evening,100,11,False,0,None,0.0,0.25
2023-04-05,EMP_0078,HR,Operator,Morning,80,9,True,0,Personal,0.0,0.23333333333333334
2023-09-21,EMP_0133,QC,Operator,Morning,80,2,False,0,None,0.0,0.23333333333333334
2023-04-15,EMP_0033,QC,Helper,Morning,80,10,False,0,None,0.0,0.20333333333333334
2023-08-05,EMP_0045,Logistics,Technician,Night,90,2,True,4,Sick,0.15,0.4666666666666667
2023-06-26,EMP_0076,Production,Operator,Evening,90,6,True,0,Sick,0.15,0.41666666666666663
2023-07-09,EMP_0160,Logistics,Supervisor,Morning,80,2,True,4,Emergency,0.15,0.33333333333333337
2023-12-27,EMP_0108,Sales,Operator,Morning,80,8,False,0,None,0.1,0.33333333333333337
2023-12-08,EMP_0282,Logistics,Helper,Morning,70,2,True,8,Sick,0.1,0.27
2023-03-17,EMP_0201,Logistics,Operator,Morning,80,3,False,0,None,0.0,0.23333333333333334
2023-12-05,EMP_0158,QC,Operator,Morning,80,3,True,0,Sick,0.1,0.33333333333333337
2023-02-22,EMP_0291,Sales,Operator,Night,90,9,False,0,None,0.0,0.33666666666666667
2023-07-05,EMP_0235,QC,Operator,Morning,60,6,False,0,None,0.15,0.31666666666666665
2023-08-09,EMP_0293,QC,Manager,Night,80,11,True,4,Sick,0.15,0.3833333333333333
2023-09-10,EMP_0105,Production,Helper,Morning,90,8,False,0,None,0.0,0.2366666666666667
2023-10-10,EMP_0224,Production,Technician,Night,90,0,True,8,Sick,0.0,0.31666666666666665
2023-12-08,EMP_0025,Production,Manager,Morning,90,3,False,0,None,0.1,0.2966666666666667
2023-10-19,EMP_0178,Sales,Supervisor,Night,80,10,True,0,Family,0.0,0.25333333333333335
2023-07-21,EMP_0180,HR,Manager,Evening,100,11,True,0,Personal,0.15,0.38
2023-05-06,EMP_0299,QC,Operator,Morning,60,0,True,0,Sick,0.0,0.16666666666666669
2023-12-14,EMP_0219,Logistics,Operator,Morning,100,5,True,8,Sick,0.1,0.4
2023-04-27,EMP_0224,HR,Supervisor,Morning,100,4,True,0,Unknown,0.0,0.25
2023-03-21,EMP_0060,Production,Helper,Night,80,2,False,0,None,0.0,0.2733333333333333
2023-05-27,EMP_0027,Maintenance,Helper,Evening,100,0,False,0,None,0.0,0.27
2023-02-23,EMP_0099,Sales,Supervisor,Evening,80,11,False,0,None,0.0,0.18333333333333335
2023-11-26,EMP_0218,HR,Helper,Evening,100,11,False,0,None,0.1,0.37
2023-01-08,EMP_0256,Maintenance,Operator,Night,70,11,False,0,None,0.0,0.27
2023-06-27,EMP_0111,Maintenance,Helper,Evening,70,10,False,0,None,0.15,0.32
2023-05-25,EMP_0142,Sales,Helper,Night,70,2,False,0,None,0.0,0.24
2023-09-10,EMP_0155,Production,Helper,Morning,100,8,False,0,None,0.0,0.27
