Applicant_ID,Job_Role,Source,Applied_Date,Screen_Date,Screen_Result,Interview_Date,Interview_Result,Offer_Date,Offer_Status,Join_Date,Joined
APP-10000,Frontend Developer,LinkedIn,2024-04-12,2024-04-16,No Response,NaT,,NaT,,NaT,0
APP-10001,Data Analyst,Indeed,2024-04-16,2024-04-21,Passed,2024-04-24,Selected,2024-04-27,No Response,NaT,0
APP-10002,Backend Developer,Careers Site,2024-04-09,2024-04-12,Passed,2024-04-14,Rejected,NaT,,NaT,0
APP-10003,Data Analyst,Naukri,2024-10-20,2024-10-22,Passed,2024-10-27,Rejected,NaT,,NaT,0
APP-10004,Data Engineer,Careers Site,2024-11-09,2024-11-15,Passed,2024-11-24,Selected,2024-11-27,Accepted,2024-12-13,1
APP-10005,Business Analyst,Naukri,2024-07-06,2024-07-12,Passed,2024-07-15,Selected,2024-07-19,Accepted,2024-07-26,1
APP-10006,HR Executive,Naukri,2024-11-02,2024-11-07,Passed,2024-11-09,No Show,NaT,,NaT,0
APP-10007,Data Analyst,Referral,2024-11-11,2024-11-17,Failed,NaT,,NaT,,NaT,0
APP-10008,HR Executive,LinkedIn,2024-09-21,2024-09-23,Passed,2024-09-27,Selected,2024-10-01,Accepted,2024-10-18,1
APP-10009,Business Analyst,Careers Site,2024-09-20,2024-09-23,No Response,NaT,,NaT,,NaT,0
APP-10010,Business Analyst,Careers Site,2024-02-19,2024-02-23,Passed,2024-02-29,Selected,2024-03-04,Accepted,2024-03-23,1
APP-10011,Data Engineer,LinkedIn,2024-08-05,2024-08-09,No Response,NaT,,NaT,,NaT,0
APP-10012,HR Executive,Careers Site,2024-09-26,2024-10-02,Passed,2024-10-11,No Show,NaT,,NaT,0
APP-10013,Business Analyst,Referral,2024-07-31,2024-08-05,Passed,2024-08-10,Rejected,NaT,,NaT,0
APP-10014,HR Executive,Indeed,2024-08-04,2024-08-08,Passed,2024-08-17,Selected,2024-08-22,Accepted,2024-09-02,1
APP-10015,HR Executive,Naukri,2024-01-09,2024-01-10,Passed,2024-01-18,Selected,2024-01-21,Declined,NaT,0
APP-10016,Data Analyst,Naukri,2024-06-11,2024-06-14,Failed,NaT,,NaT,,NaT,0
APP-10017,HR Executive,LinkedIn,2024-09-17,2024-09-19,Passed,2024-09-28,No Show,NaT,,NaT,0
APP-10018,Data Engineer,LinkedIn,2024-07-19,2024-07-23,Passed,2024-07-30,Selected,2024-08-04,Declined,NaT,0
APP-10019,Data Engineer,Naukri,2024-08-01,2024-08-04,Passed,2024-08-07,Selected,2024-08-13,Declined,NaT,0
APP-10020,Frontend Developer,Naukri,2024-01-05,2024-01-07,Passed,2024-01-14,Selected,2024-01-16,Accepted,2024-02-02,1
APP-10021,Business Analyst,LinkedIn,2024-06-27,2024-06-28,Passed,2024-07-02,No Show,NaT,,NaT,0
APP-10022,Backend Developer,Careers Site,2024-08-18,2024-08-23,Passed,2024-08-27,No Show,NaT,,NaT,0
APP-10023,HR Executive,Referral,2024-11-22,2024-11-25,Failed,NaT,,NaT,,NaT,0
APP-10024,Data Analyst,Naukri,2024-10-10,2024-10-12,Passed,2024-10-21,Selected,2024-10-25,Declined,NaT,0
APP-10025,Backend Developer,Indeed,2024-02-13,2024-02-17,No Response,NaT,,NaT,,NaT,0
APP-10026,Data Analyst,Referral,2024-05-07,2024-05-09,Passed,2024-05-18,Selected,2024-05-19,Accepted,2024-06-03,1
APP-10027,Data Analyst,Indeed,2024-04-30,2024-05-04,Passed,2024-05-07,Selected,2024-05-10,Accepted,2024-05-19,1
APP-10028,HR Executive,LinkedIn,2024-08-12,2024-08-15,Passed,2024-08-23,No Show,NaT,,NaT,0
APP-10029,HR Executive,Indeed,2024-06-08,2024-06-09,Passed,2024-06-10,Selected,2024-06-14,Accepted,2024-06-20,1
APP-10030,HR Executive,Referral,2024-04-22,2024-04-27,Passed,2024-04-28,Selected,2024-04-30,Accepted,2024-05-10,1
APP-10031,Backend Developer,Careers Site,2024-08-11,2024-08-12,Passed,2024-08-14,Selected,2024-08-16,No Response,NaT,0
APP-10032,Data Analyst,Naukri,2024-09-03,2024-09-07,Passed,2024-09-15,Selected,2024-09-21,Accepted,2024-09-29,1
APP-10033,HR Executive,LinkedIn,2024-04-07,2024-04-13,Passed,2024-04-14,Selected,2024-04-17,Accepted,2024-05-04,1
APP-10034,Data Analyst,Referral,2024-09-15,2024-09-19,Passed,2024-09-23,Selected,2024-09-26,Declined,NaT,0
APP-10035,Backend Developer,Careers Site,2024-05-27,2024-05-31,No Response,NaT,,NaT,,NaT,0
APP-10036,Backend Developer,LinkedIn,2024-05-07,2024-05-09,Failed,NaT,,NaT,,NaT,0
APP-10037,HR Executive,LinkedIn,2024-09-23,2024-09-27,Failed,NaT,,NaT,,NaT,0
APP-10038,Data Analyst,Naukri,2024-05-30,2024-06-05,Failed,NaT,,NaT,,NaT,0
APP-10039,Data Engineer,Careers Site,2024-09-19,2024-09-23,Passed,2024-10-02,Selected,2024-10-03,Accepted,2024-10-21,1
APP-10040,Frontend Developer,Indeed,2024-05-19,2024-05-24,No Response,NaT,,NaT,,NaT,0
APP-10041,Backend Developer,LinkedIn,2024-01-09,2024-01-10,Passed,2024-01-13,No Show,NaT,,NaT,0
APP-10042,Backend Developer,Referral,2024-02-23,2024-02-24,Passed,2024-02-25,Selected,2024-03-02,Declined,NaT,0
APP-10043,HR Executive,Indeed,2024-09-10,2024-09-13,Passed,2024-09-22,Rejected,NaT,,NaT,0
APP-10044,Data Engineer,Careers Site,2024-07-12,2024-07-18,Passed,2024-07-27,Selected,2024-07-31,Accepted,2024-08-09,1
APP-10045,Business Analyst,Naukri,2024-10-30,2024-11-03,Passed,2024-11-11,Rejected,NaT,,NaT,0
APP-10046,Data Engineer,Indeed,2024-05-07,2024-05-08,Passed,2024-05-11,Rejected,NaT,,NaT,0
APP-10047,Data Engineer,Naukri,2024-01-22,2024-01-28,Passed,2024-02-03,Selected,2024-02-09,No Response,NaT,0
APP-10048,Frontend Developer,Indeed,2024-01-27,2024-01-29,Passed,2024-01-30,Rejected,NaT,,NaT,0
APP-10049,Frontend Developer,Referral,2024-11-12,2024-11-15,Passed,2024-11-16,Selected,2024-11-20,No Response,NaT,0
APP-10050,HR Executive,LinkedIn,2024-02-15,2024-02-20,No Response,NaT,,NaT,,NaT,0
APP-10051,HR Executive,Referral,2024-08-20,2024-08-25,No Response,NaT,,NaT,,NaT,0
APP-10052,Frontend Developer,Careers Site,2024-10-28,2024-11-02,Passed,2024-11-03,Selected,2024-11-08,Accepted,2024-11-19,1
APP-10053,Data Engineer,Indeed,2024-06-09,2024-06-12,Passed,2024-06-21,Selected,2024-06-27,Declined,NaT,0
APP-10054,Data Analyst,Naukri,2024-06-22,2024-06-24,Passed,2024-06-30,Selected,2024-07-03,Accepted,2024-07-17,1
APP-10055,Business Analyst,Indeed,2024-09-29,2024-09-30,Passed,2024-10-06,Selected,2024-10-11,Accepted,2024-10-25,1
APP-10056,HR Executive,Referral,2024-11-01,2024-11-02,Passed,2024-11-09,Selected,2024-11-14,Accepted,2024-11-26,1
APP-10057,HR Executive,Careers Site,2024-05-21,2024-05-25,No Response,NaT,,NaT,,NaT,0
APP-10058,Data Analyst,Careers Site,2024-05-22,2024-05-26,Passed,2024-06-02,Rejected,NaT,,NaT,0
APP-10059,HR Executive,LinkedIn,2024-02-20,2024-02-21,Passed,2024-02-27,Rejected,NaT,,NaT,0
APP-10060,Data Engineer,Careers Site,2024-10-31,2024-11-04,Passed,2024-11-10,Selected,2024-11-15,Accepted,2024-11-24,1
APP-10061,HR Executive,Indeed,2024-02-29,2024-03-04,No Response,NaT,,NaT,,NaT,0
APP-10062,Data Analyst,Indeed,2024-04-12,2024-04-16,Failed,NaT,,NaT,,NaT,0
APP-10063,HR Executive,Referral,2024-02-16,2024-02-19,Passed,2024-02-23,Selected,2024-02-25,Accepted,2024-03-14,1
APP-10064,HR Executive,Indeed,2024-05-26,2024-05-27,Passed,2024-05-30,Selected,2024-06-01,Accepted,2024-06-10,1
APP-10065,HR Executive,LinkedIn,2024-11-13,2024-11-14,Failed,NaT,,NaT,,NaT,0
APP-10066,Business Analyst,Careers Site,2024-05-08,2024-05-10,No Response,NaT,,NaT,,NaT,0
APP-10067,Frontend Developer,LinkedIn,2024-08-26,2024-08-28,Passed,2024-09-03,Rejected,NaT,,NaT,0
APP-10068,Data Analyst,Naukri,2024-08-24,2024-08-29,Passed,2024-09-05,Rejected,NaT,,NaT,0
APP-10069,Backend Developer,Indeed,2024-03-09,2024-03-15,Failed,NaT,,NaT,,NaT,0
APP-10070,Data Engineer,Naukri,2024-03-16,2024-03-18,Passed,2024-03-23,Selected,2024-03-28,Accepted,2024-04-06,1
APP-10071,Backend Developer,Careers Site,2024-02-16,2024-02-17,Passed,2024-02-21,Selected,2024-02-23,Declined,NaT,0
APP-10072,Business Analyst,Referral,2024-02-08,2024-02-12,Passed,2024-02-17,Selected,2024-02-19,No Response,NaT,0
APP-10073,Data Analyst,Careers Site,2024-04-09,2024-04-11,Passed,2024-04-14,Selected,2024-04-15,Accepted,2024-05-02,1
APP-10074,HR Executive,LinkedIn,2024-01-04,2024-01-06,Passed,2024-01-10,Rejected,NaT,,NaT,0
APP-10075,Backend Developer,Referral,2024-06-26,2024-06-29,Passed,2024-06-30,Rejected,NaT,,NaT,0
APP-10076,HR Executive,LinkedIn,2024-04-10,2024-04-14,Passed,2024-04-15,Rejected,NaT,,NaT,0
APP-10077,Backend Developer,Careers Site,2024-02-12,2024-02-16,Passed,2024-02-18,Selected,2024-02-20,Declined,NaT,0
APP-10078,Backend Developer,Careers Site,2024-03-30,2024-04-04,Failed,NaT,,NaT,,NaT,0
APP-10079,Data Analyst,Naukri,2024-03-30,2024-04-05,Failed,NaT,,NaT,,NaT,0
APP-10080,Frontend Developer,Referral,2024-04-14,2024-04-18,Failed,NaT,,NaT,,NaT,0
APP-10081,Data Analyst,Indeed,2024-04-23,2024-04-28,No Response,NaT,,NaT,,NaT,0
APP-10082,Data Engineer,LinkedIn,2024-08-04,2024-08-09,No Response,NaT,,NaT,,NaT,0
APP-10083,HR Executive,Naukri,2024-06-12,2024-06-14,Passed,2024-06-22,Rejected,NaT,,NaT,0
APP-10084,Data Engineer,Indeed,2024-06-25,2024-06-28,Passed,2024-06-30,Selected,2024-07-06,Accepted,2024-07-22,1
APP-10085,Backend Developer,Indeed,2024-07-01,2024-07-06,Failed,NaT,,NaT,,NaT,0
APP-10086,HR Executive,Referral,2024-10-12,2024-10-13,Passed,2024-10-17,Rejected,NaT,,NaT,0
APP-10087,HR Executive,Careers Site,2024-07-05,2024-07-08,Passed,2024-07-17,Rejected,NaT,,NaT,0
APP-10088,Backend Developer,Careers Site,2024-09-21,2024-09-25,No Response,NaT,,NaT,,NaT,0
APP-10089,Backend Developer,Referral,2024-02-21,2024-02-24,Passed,2024-02-29,Selected,2024-03-04,Accepted,2024-03-19,1
APP-10090,Backend Developer,Indeed,2024-02-22,2024-02-23,Passed,2024-02-28,Selected,2024-03-05,Accepted,2024-03-14,1
APP-10091,Frontend Developer,Careers Site,2024-06-11,2024-06-16,Passed,2024-06-18,No Show,NaT,,NaT,0
APP-10092,Backend Developer,Careers Site,2024-01-09,2024-01-11,Failed,NaT,,NaT,,NaT,0
APP-10093,Backend Developer,LinkedIn,2024-09-09,2024-09-15,Passed,2024-09-23,Selected,2024-09-25,No Response,NaT,0
APP-10094,Frontend Developer,LinkedIn,2024-07-12,2024-07-17,Passed,2024-07-23,No Show,NaT,,NaT,0
APP-10095,Frontend Developer,Referral,2024-11-16,2024-11-22,Failed,NaT,,NaT,,NaT,0
APP-10096,Frontend Developer,LinkedIn,2024-11-22,2024-11-23,Passed,2024-11-27,Selected,2024-11-30,Declined,NaT,0
APP-10097,Backend Developer,Referral,2024-06-30,2024-07-03,Passed,2024-07-06,Selected,2024-07-09,Accepted,2024-07-15,1
APP-10098,Data Analyst,Naukri,2024-08-07,2024-08-13,Passed,2024-08-21,Selected,2024-08-22,Declined,NaT,0
APP-10099,HR Executive,Careers Site,2024-07-08,2024-07-09,Passed,2024-07-10,Selected,2024-07-11,Accepted,2024-07-21,1
APP-10100,Backend Developer,Referral,2024-02-27,2024-03-02,No Response,NaT,,NaT,,NaT,0
APP-10101,Data Engineer,Referral,2024-06-21,2024-06-26,Passed,2024-07-02,No Show,NaT,,NaT,0
APP-10102,HR Executive,Careers Site,2024-09-08,2024-09-13,Passed,2024-09-16,No Show,NaT,,NaT,0
APP-10103,Data Engineer,Referral,2024-02-16,2024-02-17,Passed,2024-02-18,Rejected,NaT,,NaT,0
APP-10104,Business Analyst,Careers Site,2024-09-15,2024-09-16,No Response,NaT,,NaT,,NaT,0
APP-10105,Data Analyst,Referral,2024-11-25,2024-12-01,Passed,2024-12-06,Selected,2024-12-10,Declined,NaT,0
APP-10106,HR Executive,Referral,2024-05-15,2024-05-17,Passed,2024-05-22,No Show,NaT,,NaT,0
APP-10107,Frontend Developer,LinkedIn,2024-07-10,2024-07-13,Failed,NaT,,NaT,,NaT,0
APP-10108,Business Analyst,LinkedIn,2024-05-24,2024-05-25,Passed,2024-05-29,Rejected,NaT,,NaT,0
APP-10109,Data Analyst,Careers Site,2024-08-27,2024-09-01,Passed,2024-09-04,Rejected,NaT,,NaT,0
APP-10110,Data Engineer,LinkedIn,2024-03-22,2024-03-25,Failed,NaT,,NaT,,NaT,0
APP-10111,Backend Developer,Referral,2024-10-29,2024-10-30,Passed,2024-11-07,No Show,NaT,,NaT,0
APP-10112,Business Analyst,Indeed,2024-09-07,2024-09-12,Passed,2024-09-20,Selected,2024-09-21,Accepted,2024-10-10,1
APP-10113,Data Engineer,LinkedIn,2024-06-25,2024-06-28,Passed,2024-07-07,No Show,NaT,,NaT,0
APP-10114,Backend Developer,Referral,2024-10-09,2024-10-10,Failed,NaT,,NaT,,NaT,0
APP-10115,Frontend Developer,Indeed,2024-04-07,2024-04-08,Passed,2024-04-09,Selected,2024-04-15,Declined,NaT,0
APP-10116,HR Executive,Indeed,2024-07-15,2024-07-20,No Response,NaT,,NaT,,NaT,0
APP-10117,Backend Developer,Careers Site,2024-01-23,2024-01-28,Failed,NaT,,NaT,,NaT,0
APP-10118,Backend Developer,Careers Site,2024-07-20,2024-07-22,Passed,2024-07-27,Selected,2024-08-02,Accepted,2024-08-19,1
APP-10119,Frontend Developer,Referral,2024-07-23,2024-07-27,Passed,2024-07-28,Rejected,NaT,,NaT,0
APP-10120,Data Engineer,LinkedIn,2024-02-03,2024-02-07,Passed,2024-02-14,Rejected,NaT,,NaT,0
APP-10121,Data Engineer,Indeed,2024-06-10,2024-06-16,Failed,NaT,,NaT,,NaT,0
APP-10122,Business Analyst,Careers Site,2024-11-01,2024-11-05,Failed,NaT,,NaT,,NaT,0
APP-10123,Backend Developer,Referral,2024-08-23,2024-08-28,Passed,2024-09-06,Rejected,NaT,,NaT,0
APP-10124,Data Engineer,Careers Site,2024-09-11,2024-09-16,Passed,2024-09-18,Rejected,NaT,,NaT,0
APP-10125,Backend Developer,Naukri,2024-04-12,2024-04-18,Passed,2024-04-20,Selected,2024-04-22,Declined,NaT,0
APP-10126,Business Analyst,Naukri,2024-11-03,2024-11-04,Passed,2024-11-12,No Show,NaT,,NaT,0
APP-10127,Data Analyst,Indeed,2024-01-30,2024-02-01,No Response,NaT,,NaT,,NaT,0
APP-10128,Business Analyst,Indeed,2024-05-12,2024-05-17,Passed,2024-05-25,Rejected,NaT,,NaT,0
APP-10129,Data Engineer,Indeed,2024-09-29,2024-10-03,Passed,2024-10-08,No Show,NaT,,NaT,0
APP-10130,Frontend Developer,Naukri,2024-02-22,2024-02-24,Passed,2024-02-27,Selected,2024-03-01,Accepted,2024-03-13,1
APP-10131,Backend Developer,Naukri,2024-07-02,2024-07-03,No Response,NaT,,NaT,,NaT,0
APP-10132,HR Executive,Referral,2024-07-13,2024-07-16,Failed,NaT,,NaT,,NaT,0
APP-10133,Backend Developer,LinkedIn,2024-03-01,2024-03-03,Passed,2024-03-08,Selected,2024-03-12,Accepted,2024-03-22,1
APP-10134,Data Engineer,Naukri,2024-11-21,2024-11-22,Passed,2024-11-24,Selected,2024-11-26,Declined,NaT,0
APP-10135,Business Analyst,Careers Site,2024-03-13,2024-03-15,Failed,NaT,,NaT,,NaT,0
APP-10136,Business Analyst,Careers Site,2024-04-30,2024-05-06,Passed,2024-05-07,Selected,2024-05-08,Accepted,2024-05-15,1
APP-10137,Frontend Developer,Indeed,2024-09-09,2024-09-13,Passed,2024-09-21,Selected,2024-09-23,Declined,NaT,0
APP-10138,Backend Developer,Referral,2024-03-18,2024-03-20,Failed,NaT,,NaT,,NaT,0
APP-10139,Backend Developer,LinkedIn,2024-01-14,2024-01-17,Passed,2024-01-24,Rejected,NaT,,NaT,0
APP-10140,Backend Developer,Indeed,2024-08-25,2024-08-28,Passed,2024-08-30,Selected,2024-09-02,Accepted,2024-09-15,1
APP-10141,Data Analyst,Referral,2024-04-28,2024-05-03,Passed,2024-05-10,Selected,2024-05-16,Accepted,2024-06-01,1
APP-10142,HR Executive,LinkedIn,2024-01-25,2024-01-26,Passed,2024-02-04,Rejected,NaT,,NaT,0
APP-10143,Frontend Developer,Careers Site,2024-03-07,2024-03-08,Passed,2024-03-12,Selected,2024-03-14,Accepted,2024-03-26,1
APP-10144,Business Analyst,Careers Site,2024-08-23,2024-08-26,Passed,2024-08-31,Selected,2024-09-02,Declined,NaT,0
APP-10145,Frontend Developer,LinkedIn,2024-11-10,2024-11-15,Passed,2024-11-24,Selected,2024-11-30,Accepted,2024-12-10,1
APP-10146,Frontend Developer,Careers Site,2024-04-21,2024-04-25,No Response,NaT,,NaT,,NaT,0
APP-10147,HR Executive,Careers Site,2024-11-13,2024-11-19,Passed,2024-11-26,Rejected,NaT,,NaT,0
APP-10148,Data Analyst,Indeed,2024-08-30,2024-09-04,No Response,NaT,,NaT,,NaT,0
APP-10149,Business Analyst,LinkedIn,2024-08-10,2024-08-16,Passed,2024-08-20,Selected,2024-08-26,Accepted,2024-09-07,1
APP-10150,HR Executive,Referral,2024-03-02,2024-03-03,Failed,NaT,,NaT,,NaT,0
APP-10151,Data Engineer,Referral,2024-07-21,2024-07-23,Passed,2024-07-28,Selected,2024-08-03,Declined,NaT,0
APP-10152,Data Analyst,LinkedIn,2024-07-30,2024-07-31,Failed,NaT,,NaT,,NaT,0
APP-10153,Data Analyst,Referral,2024-05-19,2024-05-20,Passed,2024-05-26,Rejected,NaT,,NaT,0
APP-10154,HR Executive,Naukri,2024-05-18,2024-05-22,Passed,2024-05-25,Selected,2024-05-27,Accepted,2024-06-05,1
APP-10155,HR Executive,Indeed,2024-05-17,2024-05-21,Passed,2024-05-29,Rejected,NaT,,NaT,0
APP-10156,HR Executive,Careers Site,2024-11-16,2024-11-21,Passed,2024-11-30,Rejected,NaT,,NaT,0
APP-10157,HR Executive,Careers Site,2024-02-07,2024-02-10,Passed,2024-02-11,No Show,NaT,,NaT,0
