Employee_ID,Department,Role,Tenure_Years,Annual_Salary,Skill,Required_Level,Current_Level,Skill_Gap,Recommend_Training_Flag,Recommended_Training,Training_Count,Last_Training_Date,Last_Training_Type,Training_Cost_USD,Predicted_Improvement_pts,Predicted_Level,Estimated_Yearly_Productivity_Value_Gain_USD,Estimated_ROI_USD,Performance_Score,Predicted_Performance_Score,Data_Generated_On
EMP-1000,Manufacturing,Operator,3.99,61133,Python,41,19,22,1,Technical Bootcamp / Mentorship,0,,,805,14.33,33,1074.45,269.45,30.0,35.0,2025-11-23
EMP-1000,Manufacturing,Operator,3.99,61133,SQL,55,51,4,0,,0,,,0,0.0,51,0.0,0.0,30.0,35.0,2025-11-23
EMP-1000,Manufacturing,Operator,3.99,61133,Statistics,56,38,18,1,Applied Workshop,0,,,601,11.0,48,824.9,223.9,30.0,35.0,2025-11-23
EMP-1000,Manufacturing,Operator,3.99,61133,Data Visualization,47,36,11,1,Applied Workshop,0,,,661,5.47,41,410.32,-250.68,30.0,35.0,2025-11-23
EMP-1000,Manufacturing,Operator,3.99,61133,Machine Learning,58,43,15,1,Technical Bootcamp / Mentorship,0,,,984,9.52,52,713.96,-270.04,30.0,35.0,2025-11-23
EMP-1000,Manufacturing,Operator,3.99,61133,Domain Knowledge,60,44,16,1,Applied Workshop,0,,,759,11.36,55,852.29,93.29,30.0,35.0,2025-11-23
EMP-1000,Manufacturing,Operator,3.99,61133,Communication,45,30,15,1,Soft skills workshop,0,,,242,6.2,36,464.97,222.97,30.0,35.0,2025-11-23
EMP-1000,Manufacturing,Operator,3.99,61133,Project Management,47,42,5,0,,0,,,0,0.0,42,0.0,0.0,30.0,35.0,2025-11-23
EMP-1000,Manufacturing,Operator,3.99,61133,ETL,59,49,10,1,Technical Bootcamp / Mentorship,0,,,1323,8.88,57,666.24,-656.76,30.0,35.0,2025-11-23
EMP-1000,Manufacturing,Operator,3.99,61133,Cloud,56,49,7,0,,1,2025-04-20 00:00:00,Online Course,0,0.0,49,0.0,0.0,30.0,35.0,2025-11-23
EMP-1001,R&D,Technician,4.3,91060,Python,40,24,16,1,Technical Bootcamp / Mentorship,1,2024-10-04 00:00:00,On-the-job,779,8.41,32,630.82,-148.18,32.29,38.52,2025-11-23
EMP-1001,R&D,Technician,4.3,91060,SQL,42,35,7,0,,0,,,0,0.0,35,0.0,0.0,32.29,38.52,2025-11-23
EMP-1001,R&D,Technician,4.3,91060,Statistics,58,47,11,1,Applied Workshop,0,,,552,7.09,54,531.52,-20.48,32.29,38.52,2025-11-23
EMP-1001,R&D,Technician,4.3,91060,Data Visualization,57,55,2,0,,2,2022-07-29 00:00:00,Mentoring,0,0.0,55,0.0,0.0,32.29,38.52,2025-11-23
