Timestamp,Machine_ID,Machine_Type,Fuel_Type,Shift,Operator_ID,Energy_Consumption_kWh,Energy_Predicted_kWh,Baseload_Drift_kWh,Cooling_Load_kWh,Fuel_Consumption,Compressed_Air_CFM,Voltage_Instability,Power_Factor,Ambient_Temp_C,Output_Units,Energy_Intensity_kWh_per_Unit,Peak_Load_Flag,Idle_Flag,Wastage_Severity,CO2_Emissions_kg
2024-01-01 00:00:00,MCH-1000,CNC,Diesel,C,OP-100,9.904,9.095,1.405,0.0,1.796,37.08,9.01,0.865,18.75,13,0.7619,0,0,0.09,4.67
2024-01-01 01:00:00,MCH-1000,CNC,Diesel,C,OP-101,13.146,12.196,3.3,0.0,2.499,22.65,5.84,1.0,20.13,26,0.5056,0,0,0.08,6.5
2024-01-01 02:00:00,MCH-1000,CNC,Diesel,C,OP-102,11.908,10.969,3.118,0.06,2.221,18.24,6.91,0.933,22.4,20,0.5954,0,0,0.09,5.78
2024-01-01 03:00:00,MCH-1000,CNC,Diesel,C,OP-103,8.223,7.479,4.778,0.729,1.495,14.62,11.32,0.805,26.86,17,0.4837,0,0,0.1,3.89
2024-01-01 04:00:00,MCH-1000,CNC,Diesel,C,OP-104,8.454,8.587,4.653,1.106,1.699,19.81,5.42,0.848,29.37,16,0.5284,0,0,-0.02,4.42
2024-01-01 05:00:00,MCH-1000,CNC,Diesel,C,OP-105,15.223,14.862,1.786,0.729,2.762,9.88,0.91,0.809,26.86,25,0.6089,0,0,0.02,7.18
2024-01-01 06:00:00,MCH-1000,CNC,Diesel,A,OP-106,10.53,10.746,5.754,0.745,1.941,9.39,12.13,0.855,26.96,20,0.5265,0,0,-0.02,5.05
2024-01-01 07:00:00,MCH-1000,CNC,Diesel,A,OP-100,24.992,25.72,3.6,0.756,4.521,32.8,10.1,0.944,27.04,37,0.6755,0,0,-0.03,11.75
2024-01-01 08:00:00,MCH-1000,CNC,Diesel,A,OP-101,22.626,21.597,0.967,0.573,4.097,40.33,2.42,0.9,25.82,45,0.5028,0,0,0.05,10.65
2024-01-01 09:00:00,MCH-1000,CNC,Diesel,A,OP-102,23.131,21.785,0.54,0.139,4.171,61.42,14.89,0.847,22.93,37,0.6252,0,0,0.06,10.84
2024-01-01 10:00:00,MCH-1000,CNC,Diesel,A,OP-103,22.933,21.905,3.252,0.0,4.325,32.73,17.14,0.918,20.66,40,0.5733,0,0,0.05,11.25
2024-01-01 11:00:00,MCH-1000,CNC,Diesel,A,OP-104,23.009,20.766,5.613,0.0,4.309,36.69,1.15,0.965,18.83,38,0.6055,0,0,0.11,11.2
2024-01-01 12:00:00,MCH-1000,CNC,Diesel,A,OP-105,20.591,21.056,1.551,0.0,3.845,39.46,11.75,0.864,18.95,36,0.572,0,0,-0.02,10.0
2024-01-01 13:00:00,MCH-1000,CNC,Diesel,A,OP-106,22.441,21.372,7.51,0.0,4.219,75.76,3.09,0.808,14.76,39,0.5754,0,0,0.05,10.97
2024-01-01 14:00:00,MCH-1000,CNC,Diesel,B,OP-100,24.034,23.981,3.723,0.0,4.455,22.05,4.4,0.844,13.69,46,0.5225,0,0,0.0,11.58
2024-01-01 15:00:00,MCH-1000,CNC,Diesel,B,OP-101,24.476,24.115,1.73,0.0,4.555,65.74,16.96,0.901,9.43,42,0.5828,0,0,0.01,11.84
2024-01-01 16:00:00,MCH-1000,CNC,Diesel,B,OP-102,21.663,21.372,1.837,0.0,4.094,43.75,4.15,0.921,7.71,36,0.6018,0,0,0.01,10.64
2024-01-01 17:00:00,MCH-1000,CNC,Diesel,B,OP-103,23.339,24.389,3.252,0.0,4.206,69.56,14.66,0.874,6.41,44,0.5304,0,0,-0.04,10.94
2024-01-01 18:00:00,MCH-1000,CNC,Diesel,B,OP-104,19.959,19.804,2.57,0.0,3.626,53.56,2.6,0.899,9.71,31,0.6438,0,0,0.01,9.43
2024-01-01 19:00:00,MCH-1000,CNC,Diesel,B,OP-105,24.343,24.867,3.394,0.0,4.522,42.39,15.99,0.925,10.09,35,0.6955,0,0,-0.02,11.76
2024-01-01 20:00:00,MCH-1000,CNC,Diesel,B,OP-106,13.675,13.494,4.254,0.0,2.602,37.42,4.73,0.918,11.61,15,0.9117,0,0,0.01,6.76
2024-01-01 21:00:00,MCH-1000,CNC,Diesel,B,OP-100,10.298,10.075,2.424,0.0,1.972,7.79,5.36,0.835,7.35,15,0.6866,0,0,0.02,5.13
2024-01-01 22:00:00,MCH-1000,CNC,Diesel,C,OP-101,9.915,10.106,2.101,0.0,1.795,22.98,32.16,0.912,13.43,7,1.4164,0,0,-0.02,4.67
