Date,Page,Content_Type,Keyword,Device,Country,Impressions,Clicks,CTR,Bounce_Rate,Time_on_Page_sec,Backlinks,Conversions,Revenue
2025-05-29,Page 1,Blog,growth,Desktop,Germany,4985,70,0.014,0.53,222.9,10,46,2021.46
2025-09-17,Page 19,Product Page,analytics,Tablet,Germany,223,22,0.099,0.52,49.9,24,4,83.52
2025-06-02,Page 18,Product Page,strategy,Mobile,Canada,2566,301,0.117,0.25,229.3,45,234,8415.63
2025-08-16,Page 1,Blog,marketing,Mobile,Germany,2856,698,0.244,0.36,173.6,17,96,3364.48
2025-08-01,Page 8,Blog,strategy,Mobile,UK,373,47,0.126,0.43,83.2,2,13,163.29
2025-05-14,Page 20,Case Study,marketing,Desktop,Germany,4441,769,0.173,0.33,283.8,40,308,14407.1
2025-09-08,Page 6,Case Study,data,Tablet,USA,2816,396,0.141,0.6,268.4,3,235,6182.3
2025-03-24,Page 16,Landing Page,SEO,Desktop,UK,1528,341,0.223,0.57,39.4,48,160,2574.77
2025-01-04,Page 11,FAQ,SEO,Mobile,Australia,612,110,0.18,0.33,178.5,7,65,2274.07
2025-07-23,Page 10,Case Study,conversion,Desktop,Germany,4363,975,0.223,0.48,202.5,26,518,12756.06
2025-09-01,Page 18,Case Study,data,Desktop,UK,3469,857,0.247,0.62,285.7,21,406,19885.54
2025-08-16,Page 13,Landing Page,data,Tablet,Canada,2535,598,0.236,0.26,160.6,23,147,1077.0
2025-10-28,Page 3,Blog,SEO,Mobile,India,2284,143,0.063,0.48,215.9,3,94,3420.84
2025-09-10,Page 7,FAQ,conversion,Mobile,Germany,4859,223,0.046,0.2,148.8,44,78,2035.52
2025-08-21,Page 4,Blog,data,Desktop,Australia,2404,175,0.073,0.42,242.3,44,154,3715.78
2025-09-12,Page 19,Case Study,data,Mobile,India,4943,1066,0.216,0.28,155.2,33,201,4470.51
2025-01-05,Page 4,Landing Page,conversion,Desktop,Germany,4702,976,0.208,0.24,181.4,42,174,7058.85
2025-03-27,Page 4,Blog,marketing,Tablet,India,4010,811,0.202,0.58,97.6,37,766,34284.65
2025-04-19,Page 12,Blog,growth,Mobile,India,2173,111,0.051,0.55,221.8,14,95,2979.05
2025-01-04,Page 12,Case Study,strategy,Mobile,Germany,2110,100,0.047,0.51,101.7,2,47,1885.01
2025-05-24,Page 5,Case Study,SEO,Tablet,UK,1620,111,0.069,0.65,187.4,23,24,1091.25
2025-02-01,Page 14,Product Page,growth,Mobile,USA,3029,96,0.032,0.47,171.0,43,0,0.0
2025-10-22,Page 19,Product Page,data,Mobile,India,3701,757,0.205,0.34,199.7,35,513,16992.28
2025-02-09,Page 18,FAQ,marketing,Desktop,Germany,4962,703,0.142,0.31,38.2,19,104,4578.92
2025-11-03,Page 13,FAQ,SEO,Desktop,Germany,817,18,0.022,0.23,114.7,11,18,850.16
2025-02-28,Page 7,FAQ,SEO,Mobile,Germany,605,77,0.127,0.33,132.7,17,26,438.59
2025-11-15,Page 9,Landing Page,SEO,Desktop,India,831,167,0.201,0.62,137.9,0,13,306.26
2025-10-22,Page 7,Blog,marketing,Mobile,Germany,4330,626,0.145,0.62,247.9,13,117,4086.39
2025-02-14,Page 17,Product Page,analytics,Desktop,Australia,3137,779,0.248,0.66,265.8,24,599,6437.69
2025-11-09,Page 16,FAQ,analytics,Mobile,India,4727,958,0.203,0.49,53.5,7,665,25335.78
2025-08-11,Page 7,FAQ,analytics,Mobile,UK,672,26,0.039,0.39,62.2,10,25,1243.09
2025-04-06,Page 17,Blog,marketing,Mobile,Australia,4605,348,0.076,0.34,226.2,41,327,10667.0
2025-09-09,Page 16,Product Page,SEO,Tablet,Canada,4317,991,0.23,0.67,156.2,24,161,4503.68
2025-04-12,Page 18,Product Page,analytics,Mobile,UK,1598,84,0.053,0.67,102.5,17,46,2190.67
2025-04-24,Page 1,Blog,analytics,Mobile,USA,1527,122,0.08,0.29,276.1,1,73,2546.04
2025-09-17,Page 1,Landing Page,SEO,Mobile,Canada,4637,966,0.208,0.36,91.1,12,381,12624.12
2025-10-24,Page 2,Product Page,strategy,Desktop,Germany,3875,479,0.124,0.38,228.6,8,45,2110.48
2025-05-02,Page 3,Case Study,marketing,Tablet,UK,2477,593,0.239,0.57,173.2,41,382,5247.98
2025-10-24,Page 10,FAQ,growth,Tablet,UK,4211,424,0.101,0.26,160.9,34,316,5374.57
2025-06-22,Page 13,Product Page,strategy,Mobile,USA,1969,261,0.133,0.39,141.3,18,89,4321.46
