Date,Campaign,Channel,Stage,Conversion_Flag,Revenue,Impressions,Clicks,Leads,CTR,CPC,CPA,Country,Device,AgeGroup,Gender,Avg_Time_on_Page_sec,Bounce_Rate,Engagement_Score,Referral_Source,Video_50%,Video_75%,Video_100%,ThruPlay_Rate
2025-01-08,Winter Campaign,Referral,Signed Up,0,0.0,751,15,4,0.02,4.76,11.28,Germany,Tablet,18-24,Female,196.83,0.46,37.78,Social,0.24,0.97,0.99,0.0013
2025-08-20,Winter Campaign,Email,Purchase Completed,1,290.36,909,129,49,0.1419,1.13,9.4,India,Mobile,25-34,Male,254.34,0.42,36.38,Direct,0.39,0.77,0.8,0.0009
2025-01-06,Summer Promo,Referral,Visited Website,0,0.0,3341,630,90,0.1886,2.16,21.91,Australia,Desktop,18-24,Male,171.28,0.59,58.03,Social,0.12,0.39,0.89,0.0003
2025-11-01,Black Friday,Social Media,Visited Website,0,0.0,1577,95,12,0.0602,3.0,15.94,Australia,Mobile,55+,Female,114.33,0.17,62.63,Paid,0.51,0.55,0.63,0.0004
2025-04-07,Spring Sale,Paid Ads,Visited Website,0,0.0,2341,132,65,0.0564,0.52,44.71,Germany,Tablet,18-24,Female,95.12,0.32,6.55,Social,0.58,0.86,0.92,0.0004
2025-04-25,Winter Campaign,Paid Ads,Purchase Completed,1,207.77,1484,232,50,0.1563,0.44,12.68,Australia,Desktop,55+,Other,81.44,0.31,42.59,Organic,0.6,0.95,0.99,0.0007
2025-05-17,Summer Promo,Referral,Visited Website,0,0.0,2974,293,111,0.0985,4.72,13.54,India,Desktop,25-34,Male,120.32,0.36,31.48,Direct,0.55,0.63,0.87,0.0003
2025-07-04,Black Friday,Email,Signed Up,0,0.0,809,102,26,0.1261,3.4,33.89,India,Mobile,55+,Other,127.28,0.22,58.63,Organic,0.29,0.78,0.97,0.0012
2024-11-30,Winter Campaign,Paid Ads,Added to Cart,0,0.0,3432,586,184,0.1707,0.92,33.53,USA,Tablet,45-54,Male,160.62,0.29,68.54,Paid,0.84,0.89,0.98,0.0003
2025-10-01,Black Friday,Paid Ads,Visited Website,0,0.0,850,120,21,0.1412,1.42,20.44,UK,Desktop,35-44,Female,36.11,0.65,96.46,Direct,0.26,0.9,0.95,0.0011
2025-11-04,Summer Promo,Paid Ads,Visited Website,0,0.0,2502,291,126,0.1163,4.7,18.99,Australia,Mobile,45-54,Female,241.23,0.19,18.75,Email,0.64,0.92,0.94,0.0004
2025-06-27,Summer Promo,Paid Ads,Visited Website,0,0.0,2293,317,82,0.1382,2.58,49.94,USA,Tablet,55+,Other,297.14,0.3,10.59,Paid,0.98,1.0,1.0,0.0004
2025-02-06,Winter Campaign,Referral,Visited Website,0,0.0,3519,450,174,0.1279,0.22,18.47,India,Desktop,55+,Male,252.71,0.57,7.1,Social,0.24,0.84,0.94,0.0003
2025-04-16,Summer Promo,Email,Signed Up,0,0.0,4175,665,270,0.1593,3.75,28.24,UK,Tablet,55+,Other,24.37,0.21,42.42,Direct,0.9,0.94,0.99,0.0002
2025-06-27,Black Friday,Social Media,Signed Up,0,0.0,4339,250,37,0.0576,3.01,34.39,Australia,Mobile,35-44,Male,291.39,0.62,16.03,Paid,0.96,0.98,0.99,0.0002
2025-02-14,Spring Sale,Social Media,Signed Up,0,0.0,2673,230,48,0.086,1.7,39.27,Germany,Desktop,55+,Female,115.6,0.68,20.32,Direct,0.8,0.98,0.99,0.0004
2025-09-17,Summer Promo,Email,Visited Website,0,0.0,1021,106,52,0.1038,0.99,44.11,UK,Desktop,25-34,Other,254.8,0.56,41.84,Direct,0.98,0.99,0.99,0.001
2025-09-04,Spring Sale,Email,Visited Website,0,0.0,1048,25,7,0.0239,2.72,32.12,USA,Tablet,45-54,Other,173.07,0.28,44.07,Email,0.76,0.85,1.0,0.001
2025-05-09,Summer Promo,Paid Ads,Added to Cart,0,0.0,4898,595,88,0.1215,4.42,35.51,UK,Tablet,25-34,Other,113.78,0.4,87.6,Direct,0.45,0.96,0.97,0.0002
2025-07-21,Summer Promo,Paid Ads,Visited Website,0,0.0,4671,744,75,0.1593,3.5,28.59,UK,Desktop,55+,Male,235.61,0.33,49.27,Direct,0.39,0.5,0.68,0.0001
2025-06-06,Summer Promo,Social Media,Signed Up,0,0.0,3648,615,305,0.1686,4.43,21.5,UK,Desktop,25-34,Other,202.11,0.21,84.59,Organic,0.43,0.74,0.82,0.0002
2025-05-01,Winter Campaign,Email,Signed Up,0,0.0,1731,112,30,0.0647,2.17,48.36,USA,Tablet,18-24,Female,139.38,0.15,77.6,Email,0.42,0.78,0.89,0.0005
2025-08-29,Summer Promo,Email,Visited Website,0,0.0,4252,349,164,0.0821,1.44,39.23,UK,Tablet,45-54,Other,233.02,0.34,88.82,Organic,0.96,0.97,0.98,0.0002
2025-09-16,Summer Promo,Email,Visited Website,0,0.0,3651,526,112,0.1441,3.82,16.5,India,Desktop,25-34,Other,297.55,0.11,25.4,Social,0.76,0.83,0.92,0.0003
2025-08-14,Spring Sale,Referral,Purchase Completed,1,211.17,4711,512,195,0.1087,1.98,44.84,India,Mobile,18-24,Male,254.75,0.25,51.23,Email,0.93,0.97,0.98,0.0002
2025-09-07,Spring Sale,Social Media,Signed Up,0,0.0,1943,145,57,0.0746,3.45,48.97,UK,Desktop,25-34,Male,158.76,0.29,74.57,Direct,0.8,0.99,1.0,0.0005
2024-12-27,Summer Promo,Paid Ads,Visited Website,0,0.0,1046,167,34,0.1597,4.12,14.54,USA,Desktop,45-54,Male,120.67,0.12,72.91,Paid,0.71,1.0,1.0,0.001
2024-12-24,Summer Promo,Email,Added to Cart,0,0.0,219,8,3,0.0365,2.76,24.15,Australia,Mobile,18-24,Male,191.66,0.59,4.87,Social,0.18,0.61,0.88,0.004
2025-07-16,Black Friday,Referral,Signed Up,0,0.0,1514,291,92,0.1922,4.65,12.43,USA,Tablet,55+,Other,160.48,0.45,46.95,Direct,0.43,0.59,0.89,0.0006
2025-04-21,Spring Sale,Paid Ads,Visited Website,0,0.0,3177,132,15,0.0415,0.65,40.71,Australia,Tablet,35-44,Female,153.12,0.15,38.29,Organic,0.43,0.93,0.99,0.0003
2025-05-24,Spring Sale,Paid Ads,Purchase Completed,1,361.19,1185,31,6,0.0262,1.45,20.08,Germany,Tablet,45-54,Male,130.16,0.13,33.75,Direct,0.1,0.29,0.39,0.0003
2025-04-09,Spring Sale,Social Media,Signed Up,0,0.0,3341,270,104,0.0808,3.48,42.86,India,Desktop,25-34,Other,30.85,0.46,10.31,Email,0.91,0.96,0.99,0.0003
2025-08-22,Winter Campaign,Social Media,Added to Cart,0,0.0,3925,178,28,0.0454,4.76,28.19,Germany,Desktop,45-54,Other,27.06,0.39,4.27,Paid,0.34,0.66,0.82,0.0002
2025-06-25,Winter Campaign,Paid Ads,Visited Website,0,0.0,3963,461,164,0.1163,0.39,27.4,Australia,Tablet,55+,Male,231.96,0.29,73.96,Direct,0.43,0.81,0.91,0.0002
2025-02-24,Black Friday,Referral,Visited Website,0,0.0,1415,91,31,0.0643,2.2,18.33,Germany,Desktop,18-24,Other,140.12,0.18,66.55,Paid,0.66,0.99,1.0,0.0007
2025-08-16,Black Friday,Email,Visited Website,0,0.0,4072,461,185,0.1132,1.65,22.36,Australia,Desktop,25-34,Male,27.16,0.55,71.76,Organic,0.8,0.98,0.99,0.0002
2024-12-21,Spring Sale,Social Media,Added to Cart,0,0.0,1073,64,26,0.0596,0.31,29.73,Germany,Tablet,25-34,Female,232.58,0.46,38.21,Direct,0.97,0.98,1.0,0.0009
2025-09-17,Black Friday,Social Media,Visited Website,0,0.0,3653,156,28,0.0427,3.59,22.55,USA,Mobile,35-44,Male,272.03,0.67,25.58,Email,0.95,0.99,1.0,0.0003
2025-07-20,Summer Promo,Paid Ads,Visited Website,0,0.0,316,7,1,0.0222,1.43,40.55,India,Tablet,18-24,Other,104.09,0.15,88.61,Email,0.01,0.9,0.92,0.0029
2025-03-09,Spring Sale,Email,Signed Up,0,0.0,674,109,24,0.1617,2.19,37.78,USA,Mobile,35-44,Other,227.28,0.52,36.85,Email,0.05,0.33,0.89,0.0013
2025-01-24,Summer Promo,Referral,Visited Website,0,0.0,4754,131,44,0.0276,1.05,14.9,India,Mobile,35-44,Other,128.61,0.35,10.02,Social,0.26,0.49,0.71,0.0001
2025-05-10,Black Friday,Social Media,Signed Up,0,0.0,724,113,19,0.1561,3.19,48.26,India,Desktop,18-24,Male,207.78,0.58,91.83,Organic,0.09,0.42,0.57,0.0008
2025-03-17,Summer Promo,Social Media,Added to Cart,0,0.0,2903,228,106,0.0785,2.55,33.28,UK,Desktop,55+,Male,154.25,0.63,11.64,Email,0.33,0.74,0.98,0.0003
2025-04-22,Winter Campaign,Referral,Visited Website,0,0.0,2716,388,147,0.1429,0.81,45.11,India,Desktop,55+,Male,118.47,0.28,19.89,Email,0.13,1.0,1.0,0.0004
2025-10-03,Spring Sale,Paid Ads,Visited Website,0,0.0,3861,119,38,0.0308,2.45,48.68,USA,Mobile,45-54,Male,25.5,0.42,38.58,Organic,0.61,0.95,0.97,0.0003
2025-11-11,Winter Campaign,Social Media,Visited Website,0,0.0,697,107,14,0.1535,3.64,33.07,India,Desktop,25-34,Male,210.14,0.31,63.05,Paid,0.03,0.53,0.56,0.0008
2025-01-11,Winter Campaign,Social Media,Visited Website,0,0.0,1364,268,74,0.1965,1.63,15.78,UK,Tablet,35-44,Male,180.42,0.13,13.37,Direct,0.51,0.57,0.79,0.0006
2025-10-01,Spring Sale,Social Media,Added to Cart,0,0.0,1454,145,26,0.0997,3.73,8.73,USA,Tablet,55+,Other,295.01,0.2,1.18,Organic,0.71,0.77,0.87,0.0006
2025-10-25,Winter Campaign,Email,Added to Cart,0,0.0,3118,88,43,0.0282,1.67,25.35,Australia,Desktop,55+,Female,107.41,0.15,54.56,Paid,0.28,0.76,0.87,0.0003
2025-06-11,Winter Campaign,Referral,Visited Website,0,0.0,3409,154,58,0.0452,4.25,26.2,Germany,Mobile,35-44,Other,122.34,0.41,98.15,Email,0.3,0.89,0.99,0.0003
2025-10-07,Spring Sale,Paid Ads,Purchase Completed,1,399.25,2741,144,54,0.0525,2.82,45.08,Germany,Mobile,35-44,Female,207.51,0.42,27.92,Direct,0.86,0.93,0.94,0.0003
2025-03-31,Black Friday,Social Media,Visited Website,0,0.0,4347,501,221,0.1153,1.58,41.84,Germany,Mobile,18-24,Female,21.68,0.38,31.85,Social,0.67,0.74,0.96,0.0002
2025-03-14,Spring Sale,Referral,Signed Up,0,0.0,2716,489,80,0.18,2.42,42.58,Australia,Desktop,18-24,Female,180.61,0.29,98.24,Organic,0.58,0.91,0.99,0.0004
2025-10-11,Black Friday,Email,Signed Up,0,0.0,507,73,9,0.144,2.15,14.81,Australia,Desktop,35-44,Other,242.82,0.46,55.84,Social,0.14,0.66,0.83,0.0016
2025-03-24,Black Friday,Email,Visited Website,0,0.0,1604,311,58,0.1939,3.47,43.47,Australia,Tablet,25-34,Other,42.18,0.46,93.63,Social,0.84,0.86,0.9,0.0006
2025-06-14,Winter Campaign,Email,Added to Cart,0,0.0,1480,153,48,0.1034,3.84,5.61,USA,Mobile,45-54,Female,289.36,0.19,64.03,Email,0.61,0.94,0.97,0.0007
2025-04-25,Spring Sale,Social Media,Purchase Completed,1,247.32,2422,320,57,0.1321,3.91,20.93,USA,Tablet,35-44,Other,279.69,0.53,91.27,Organic,0.83,0.96,0.99,0.0004
2025-09-01,Winter Campaign,Social Media,Signed Up,0,0.0,1825,77,16,0.0422,3.34,16.47,India,Mobile,18-24,Male,31.26,0.4,5.38,Direct,0.15,0.75,0.96,0.0005
2025-01-08,Winter Campaign,Referral,Visited Website,0,0.0,4796,464,77,0.0967,3.21,23.75,UK,Tablet,55+,Other,182.31,0.41,24.58,Paid,0.26,0.88,0.9,0.0002
2025-05-30,Winter Campaign,Referral,Signed Up,0,0.0,2876,364,122,0.1266,4.59,30.33,India,Mobile,18-24,Other,140.6,0.26,22.25,Email,0.4,0.88,0.9,0.0003
2025-08-22,Black Friday,Social Media,Visited Website,0,0.0,3205,305,133,0.0952,4.27,12.85,India,Mobile,18-24,Female,219.68,0.45,44.21,Organic,0.35,0.42,0.5,0.0002
