Campaign,Channel,Date,Impressions,Clicks,Leads,Conversions,Spend,CTR,CPC,CPL,CPA,ConversionRate,LeadRate,Revenue,ROAS,Country,Device,AgeGroup,Gender,AdSet,Creative,UTM_Source,UTM_Medium
Big Weekend Push,Google Ads,2025-09-01,46700,2631,1209,41,21291.55,5.63,8.09,17.61,519.31,3.39,45.95,47337.18,2.22,UAE,Tablet,45-54,Male,Website Visitors,Carousel Ad,linkedin,organic
Back to School,Instagram,2025-08-06,61933,5201,1230,211,16836.15,8.4,3.24,13.69,79.79,17.15,23.65,882311.92,52.41,USA,Tablet,25-34,Male,App Users,Carousel Ad,instagram,paid_social
Freedom Sale,LinkedIn,2025-09-24,177455,20386,8963,488,26341.44,11.49,1.29,2.94,53.98,5.44,43.97,2037258.86,77.34,India,Mobile,45-54,Other,Website Visitors,Reel Format,linkedin,display
Back to School,Google Ads,2025-08-26,170407,7382,2412,364,29481.05,4.33,3.99,12.22,80.99,15.09,32.67,1398691.92,47.44,USA,Mobile,35-44,Male,Website Visitors,Static Image 2,instagram,paid_social
New Year Promo,Google Ads,2025-07-27,187459,11093,508,279,33530.15,5.92,3.02,66.0,120.18,54.92,4.58,666116.35,19.87,USA,Tablet,55+,Other,Cold Lookalike,Reel Format,google,organic
Summer Fest,YouTube,2025-09-29,79394,1906,868,409,12947.95,2.4,6.79,14.92,31.66,47.12,45.54,339859.3,26.25,UAE,Desktop,18-24,Male,Warm Audience,Static Image 2,instagram,organic
Back to School,LinkedIn,2025-09-21,183565,11173,3008,968,21363.41,6.09,1.91,7.1,22.07,32.18,26.92,3310544.52,154.96,India,Tablet,55+,Female,Retargeting,Video Creative B,linkedin,paid_social
New Year Promo,LinkedIn,2025-11-09,101829,5690,531,296,6691.95,5.59,1.18,12.6,22.61,55.74,9.33,913439.85,136.5,UK,Tablet,45-54,Male,Warm Audience,Video Creative B,google,organic
New Year Promo,LinkedIn,2025-11-05,193466,4435,793,124,14216.3,2.29,3.21,17.93,114.65,15.64,17.88,198024.72,13.93,UK,Tablet,55+,Male,App Users,Static Image 1,instagram,organic
Diwali Blast Sale,YouTube,2025-07-29,89486,8606,3068,1660,22215.93,9.62,2.58,7.24,13.38,54.11,35.65,5635514.29,253.67,UK,Desktop,45-54,Other,App Users,Static Image 2,google,organic
Diwali Blast Sale,Instagram,2025-08-01,154584,1063,37,16,26507.39,0.69,24.94,716.42,1656.71,43.24,3.48,49647.65,1.87,India,Mobile,18-24,Male,Warm Audience,Video Creative B,facebook,cpc
Back to School,Google Ads,2025-09-27,199756,2619,473,70,30417.74,1.31,11.61,64.31,434.54,14.8,18.06,219105.06,7.2,USA,Desktop,25-34,Other,Retargeting,Static Image 2,youtube,cpc
Freedom Sale,Instagram,2025-08-22,17588,56,5,3,13000.4,0.32,232.15,2600.08,4333.47,60.0,8.93,9680.12,0.74,USA,Tablet,25-34,Male,Warm Audience,Carousel Ad,instagram,organic
Big Weekend Push,Instagram,2025-09-29,151626,12275,1486,647,11393.52,8.1,0.93,7.67,17.61,43.54,12.11,1997749.62,175.34,Singapore,Desktop,18-24,Male,Retargeting,Video Creative B,google,paid_social
Big Weekend Push,Facebook,2025-09-13,11524,1131,542,249,21396.17,9.81,18.92,39.48,85.93,45.94,47.92,906456.39,42.37,Singapore,Desktop,55+,Male,App Users,Carousel Ad,youtube,paid_social
Diwali Blast Sale,Instagram,2025-08-15,158979,6935,3267,483,9417.2,4.36,1.36,2.88,19.5,14.78,47.11,1622560.01,172.3,Singapore,Tablet,25-34,Female,Retargeting,Carousel Ad,google,display
Diwali Blast Sale,YouTube,2025-09-05,56158,3788,249,136,1182.21,6.75,0.31,4.75,8.69,54.62,6.57,270194.23,228.55,India,Tablet,35-44,Female,Website Visitors,Carousel Ad,youtube,cpc
Diwali Blast Sale,Instagram,2025-08-04,175008,14180,4449,2450,14300.22,8.1,1.01,3.21,5.84,55.07,31.38,11411750.18,798.01,UAE,Desktop,45-54,Female,High Intent Segment,Reel Format,linkedin,paid_social
New Year Promo,LinkedIn,2025-09-19,13351,1275,143,10,27081.18,9.55,21.24,189.38,2708.12,6.99,11.22,33865.23,1.25,UAE,Mobile,55+,Other,Warm Audience,Static Image 1,instagram,cpc
Back to School,LinkedIn,2025-08-08,73212,1070,205,105,11136.1,1.46,10.41,54.32,106.06,51.22,19.16,229908.63,20.65,UK,Tablet,35-44,Other,Warm Audience,Static Image 1,instagram,display
Diwali Blast Sale,Facebook,2025-10-29,107097,8674,2797,292,13360.56,8.1,1.54,4.78,45.76,10.44,32.25,988075.05,73.95,USA,Mobile,45-54,Other,Retargeting,Video Creative A,instagram,display
Back to School,Instagram,2025-09-07,50484,3385,592,22,8687.57,6.71,2.57,14.67,394.89,3.72,17.49,30455.18,3.51,Singapore,Tablet,55+,Other,Warm Audience,Static Image 2,instagram,display
New Year Promo,LinkedIn,2025-10-13,157057,7889,3083,582,15840.3,5.02,2.01,5.14,27.22,18.88,39.08,601761.63,37.99,UAE,Desktop,55+,Male,Website Visitors,Static Image 1,google,paid_social
Big Weekend Push,Instagram,2025-11-08,117037,226,37,16,24390.21,0.19,107.92,659.19,1524.39,43.24,16.37,45554.26,1.87,UK,Desktop,45-54,Female,App Users,Static Image 1,linkedin,cpc
Back to School,YouTube,2025-09-16,192537,8942,3583,752,706.91,4.64,0.08,0.2,0.94,20.99,40.07,3244550.72,4589.76,USA,Mobile,55+,Male,Cold Lookalike,Static Image 1,linkedin,display
Summer Fest,Instagram,2025-08-27,8623,490,32,19,3312.41,5.68,6.76,103.51,174.34,59.38,6.53,72180.51,21.79,UAE,Mobile,35-44,Male,Retargeting,Video Creative A,google,organic
Summer Fest,Google Ads,2025-08-18,197634,14503,4106,853,22151.88,7.34,1.53,5.4,25.97,20.77,28.31,1148005.82,51.82,UAE,Tablet,35-44,Female,App Users,Static Image 1,youtube,display
Freedom Sale,Instagram,2025-10-02,47130,1269,381,169,12309.08,2.69,9.7,32.31,72.83,44.36,30.02,267950.49,21.77,UAE,Tablet,25-34,Other,Retargeting,Static Image 2,google,display
New Year Promo,Instagram,2025-10-31,190773,8973,3639,1091,12320.67,4.7,1.37,3.39,11.29,29.98,40.55,2925116.62,237.42,USA,Mobile,18-24,Other,Warm Audience,Video Creative B,youtube,paid_social
