Order_ID,Customer_ID,Order_Date,Warehouse,Region,Product_Type,Channel,Processing_Delay_Hrs,Picking_Delay_Hrs,Packing_Delay_Hrs,Dispatch_Delay_Hrs,Transport_Delay_Hrs,Total_Fulfillment_Hours,SLA_Hours,SLA_Breach_Flag,Order_Qty,Fulfilled_Qty,Qty_Accuracy,Short_Ship_Flag,Root_Cause,Priority,Fulfillment_Completed_At,Shipping_Cost,Delay_Cost
ORD-100000,CUST-754,2023-04-13 19:28:00,WH-South,East,Electronics,Retail,1.09,2.45,0.28,0.4,3.84,8.06,48,0,184,174,0.946,1,Picking Delay,Critical,2023-04-14 03:31:40.229428,203.17,288.11
ORD-100001,CUST-214,2023-09-28 10:07:00,WH-South,North,Electronics,B2B,2.67,0.52,0.44,0.53,0.84,4.99,48,0,116,113,0.974,1,Transport Issue,Medium,2023-09-28 15:06:22.032990,108.42,178.32
ORD-100002,CUST-125,2023-07-08 20:38:00,WH-South,North,Furniture,B2B,1.93,1.09,0.77,3.39,2.74,9.92,48,0,52,50,0.962,1,Dispatch Backlog,High,2023-07-09 06:33:16.832981,168.58,354.59
ORD-100003,CUST-859,2023-05-02 18:22:00,WH-East,South,Apparel,Online,2.83,0.88,0.72,2.34,4.51,11.27,48,0,366,357,0.975,1,Picking Delay,High,2023-05-03 05:37:58.414093,115.5,402.65
ORD-100004,CUST-381,2023-11-27 10:23:00,WH-East,South,FMCG,Online,2.87,7.24,1.48,0.06,2.38,14.02,48,0,46,45,0.978,1,Transport Issue,Critical,2023-11-28 00:24:29.911612,203.6,501.25
ORD-100005,CUST-350,2023-04-10 07:23:00,WH-South,East,Apparel,B2B,2.48,0.89,1.17,0.19,4.78,9.51,48,0,393,381,0.969,1,Dispatch Backlog,Medium,2023-04-10 16:53:44.462157,360.06,339.97
ORD-100006,CUST-328,2023-05-11 21:52:00,WH-East,East,FMCG,B2B,0.77,0.15,1.24,6.57,2.52,11.25,24,0,442,430,0.973,1,Inventory Shortage,High,2023-05-12 09:07:15.064297,92.93,402.22
ORD-100007,CUST-242,2023-09-15 23:43:00,WH-North,East,FMCG,B2B,0.1,0.17,1.5,6.09,1.7,9.57,48,0,23,23,1.0,0,Dispatch Backlog,Low,2023-09-16 09:17:14.070744,110.25,342.05
ORD-100008,CUST-854,2023-10-21 01:59:00,WH-West,South,Electronics,B2B,1.52,1.61,0.42,1.33,1.52,6.39,24,0,131,128,0.977,1,Dispatch Backlog,Medium,2023-10-21 08:22:21.994601,218.33,228.36
ORD-100009,CUST-204,2023-10-04 00:11:00,WH-East,North,Furniture,Online,5.54,1.65,0.47,6.65,2.22,16.53,72,0,127,127,1.0,0,Picking Delay,Medium,2023-10-04 16:42:36.841222,174.95,590.67
ORD-100010,CUST-792,2023-11-10 21:43:00,WH-South,East,Furniture,Distributor,2.11,0.98,0.69,2.7,0.1,6.58,48,0,445,435,0.978,1,None,Medium,2023-11-11 04:17:30.305326,191.14,234.99
ORD-100011,CUST-858,2023-12-11 16:26:00,WH-South,South,Apparel,Online,4.47,1.02,0.44,4.92,4.64,15.48,72,0,265,256,0.966,1,Transport Issue,Low,2023-12-12 07:54:46.945955,94.25,553.24
ORD-100012,CUST-658,2023-02-28 09:27:00,WH-West,South,Furniture,Retail,11.96,0.1,5.03,1.67,7.83,26.6,96,0,309,298,0.964,1,Picking Delay,High,2023-03-01 12:02:47.261403,211.67,950.56
ORD-100013,CUST-189,2023-07-07 15:14:00,WH-East,East,Automotive,Online,0.45,1.31,2.02,0.36,1.84,5.97,48,0,196,192,0.98,1,Staff Shortage,Medium,2023-07-07 21:12:26.495837,168.86,213.51
ORD-100014,CUST-704,2023-07-09 14:50:00,WH-East,South,Apparel,Online,2.94,1.26,0.22,1.71,0.2,6.33,96,0,433,421,0.972,1,Inventory Shortage,Low,2023-07-09 21:09:37.210674,96.51,226.13
ORD-100015,CUST-532,2023-12-30 22:51:00,WH-South,North,Electronics,Distributor,2.8,0.29,0.01,1.83,18.17,23.1,48,0,473,465,0.983,1,Transport Issue,Medium,2023-12-31 21:57:15.147831,165.53,825.74
ORD-100016,CUST-132,2023-11-16 02:36:00,WH-West,West,Electronics,Online,9.77,0.2,0.05,2.4,1.29,13.71,24,0,454,443,0.976,1,Inventory Shortage,High,2023-11-16 16:18:42.543814,153.05,490.06
ORD-100017,CUST-130,2023-11-03 06:20:00,WH-South,South,Automotive,Distributor,10.6,0.24,0.34,0.33,0.57,12.08,48,0,48,46,0.958,1,Transport Issue,Critical,2023-11-03 18:24:40.777735,106.95,431.67
ORD-100018,CUST-195,2023-11-25 06:17:00,WH-East,South,Apparel,Retail,2.9,0.19,0.15,14.27,1.94,19.45,48,0,379,367,0.968,1,Transport Issue,Medium,2023-11-26 01:43:46.284788,121.22,695.01
ORD-100019,CUST-323,2023-03-30 13:49:00,WH-West,West,Furniture,Retail,0.7,1.69,0.91,0.84,5.63,9.78,72,0,82,81,0.988,1,Transport Issue,Low,2023-03-30 23:35:49.043306,195.77,349.55
ORD-100020,CUST-338,2023-09-22 20:01:00,WH-East,North,FMCG,Distributor,4.01,0.39,2.34,0.66,1.46,8.87,48,0,109,107,0.982,1,Inventory Shortage,Low,2023-09-23 04:53:02.430960,141.83,316.92
ORD-100021,CUST-617,2023-12-06 14:59:00,WH-West,East,Electronics,Online,0.28,0.52,1.6,2.24,3.59,8.24,48,0,263,253,0.962,1,Inventory Shortage,Low,2023-12-06 23:13:29.200669,227.45,294.55
ORD-100022,CUST-716,2023-09-21 14:34:00,WH-East,South,FMCG,Distributor,3.79,0.34,0.29,2.31,2.26,9.0,72,0,355,347,0.977,1,Dispatch Backlog,Low,2023-09-21 23:33:42.400951,113.69,321.48
ORD-100023,CUST-127,2023-07-25 16:35:00,WH-East,North,Apparel,Online,6.03,5.7,0.61,1.74,0.53,14.6,48,0,31,31,1.0,0,Picking Delay,Medium,2023-07-26 07:11:02.716905,153.42,521.83
