Timestamp,Vehicle_ID,Vehicle_Type,Route_ID,Start_City,End_City,Route_Distance_km,Traffic_Level,Weather_Condition,Predicted_Travel_Hours,Actual_Travel_Hours,Predicted_Fuel_Liters,Actual_Fuel_Liters,Vehicle_Capacity_kg,Load_Weight_kg,Delay_Hours,Efficiency_Score
2023-01-01 00:00:00,VH-019,Truck,RT-008,Hyderabad,Bangalore,343.34,Low,Rain,8.48,11.8,57.22,66.16,5000,3894.63,3.32,0.622
2023-01-01 06:00:00,VH-018,Bike,RT-022,Mumbai,Bangalore,148.86,High,Fog,5.09,5.47,4.25,3.91,80,79.44,0.38,1.012
2023-01-01 12:00:00,VH-022,Van,RT-021,Mumbai,Kolkata,544.99,Severe,Rain,24.47,26.89,45.42,41.2,1200,1291.11,2.42,1.003
2023-01-01 18:00:00,VH-003,Bike,RT-006,Mumbai,Chennai,750.87,High,Rain,21.39,21.98,21.45,20.67,80,35.74,0.59,1.01
2023-01-02 00:00:00,VH-005,Mini-Truck,RT-035,Pune,Kolkata,280.78,Low,Rain,6.24,7.98,28.08,29.51,2500,1332.46,1.74,0.744
2023-01-02 06:00:00,VH-029,Truck,RT-008,Delhi,Mumbai,554.55,Medium,Fog,19.33,19.65,92.42,92.63,5000,2965.45,0.32,0.982
2023-01-02 12:00:00,VH-001,Truck,RT-028,Hyderabad,Chennai,415.9,Severe,Storm,34.23,36.94,69.32,67.23,5000,3556.94,2.71,0.956
2023-01-02 18:00:00,VH-025,Truck,RT-013,Hyderabad,Chennai,537.25,Low,Rain,13.27,13.24,89.54,99.63,5000,2182.1,-0.03,0.901
2023-01-03 00:00:00,VH-014,Mini-Truck,RT-003,Delhi,Mumbai,67.9,Medium,Storm,2.66,5.97,6.79,8.41,2500,2366.79,3.31,0.36
2023-01-03 06:00:00,VH-010,Bike,RT-006,Hyderabad,Delhi,281.11,High,Rain,8.01,8.17,8.03,9.15,80,52.17,0.16,0.86
2023-01-03 12:00:00,VH-001,Mini-Truck,RT-008,Delhi,Hyderabad,118.61,Severe,Rain,5.86,7.49,11.86,10.82,2500,2568.64,1.63,0.858
2023-01-03 18:00:00,VH-006,Truck,RT-028,Hyderabad,Pune,240.31,Medium,Rain,6.98,9.23,40.05,40.42,5000,3580.27,2.25,0.749
2023-01-04 00:00:00,VH-023,Truck,RT-014,Chennai,Kolkata,496.57,Medium,Rain,14.42,14.91,82.76,102.57,5000,4600.53,0.48,0.781
2023-01-04 06:00:00,VH-005,Truck,RT-001,Kolkata,Pune,846.15,High,Clear,28.93,32.04,141.03,156.43,5000,5187.5,3.11,0.814
2023-01-04 12:00:00,VH-004,Mini-Truck,RT-011,Pune,Hyderabad,88.76,Medium,Rain,2.32,2.85,8.88,8.13,2500,1400.66,0.53,0.89
2023-01-04 18:00:00,VH-012,Truck,RT-006,Hyderabad,Mumbai,355.92,Low,Rain,8.79,9.59,59.32,70.59,5000,2927.01,0.8,0.77
2023-01-05 00:00:00,VH-027,Bike,RT-019,Delhi,Bangalore,260.03,High,Storm,11.11,12.92,7.43,7.05,80,75.34,1.81,0.906
2023-01-05 06:00:00,VH-012,Truck,RT-007,Pune,Mumbai,76.35,Low,Storm,2.83,6.28,12.73,14.89,5000,2294.86,3.45,0.385
2023-01-05 12:00:00,VH-017,Van,RT-003,Hyderabad,Mumbai,14.91,Medium,Fog,0.43,3.24,1.24,1.43,1200,1059.85,2.82,0.114
2023-01-05 18:00:00,VH-027,Truck,RT-026,Delhi,Bangalore,696.43,Low,Clear,15.48,15.55,116.07,119.03,5000,1963.48,0.07,0.971
2023-01-06 00:00:00,VH-028,Bike,RT-036,Bangalore,Pune,778.16,Severe,Rain,32.02,34.13,22.23,22.58,80,28.07,2.11,0.924
2023-01-06 06:00:00,VH-028,Van,RT-014,Bangalore,Delhi,286.77,Low,Fog,6.95,7.96,23.9,27.61,1200,972.06,1.0,0.756
2023-01-06 12:00:00,VH-025,Bike,RT-011,Mumbai,Bangalore,799.62,Low,Storm,22.21,23.76,22.85,21.52,80,69.65,1.55,0.993
2023-01-06 18:00:00,VH-029,Truck,RT-005,Mumbai,Bangalore,687.1,Medium,Rain,19.96,21.84,114.52,133.97,5000,3475.18,1.88,0.781
2023-01-07 00:00:00,VH-020,Truck,RT-006,Pune,Bangalore,475.23,High,Rain,18.05,19.43,79.21,71.99,5000,1931.57,1.38,1.022
2023-01-07 06:00:00,VH-008,Truck,RT-005,Delhi,Mumbai,37.97,Severe,Fog,2.5,4.65,6.33,6.39,5000,3534.28,2.15,0.532
2023-01-07 12:00:00,VH-021,Van,RT-003,Pune,Kolkata,817.73,Low,Clear,14.87,15.59,68.14,71.12,1200,1085.33,0.72,0.914
2023-01-07 18:00:00,VH-025,Van,RT-009,Pune,Bangalore,213.63,Low,Rain,4.32,4.4,17.8,17.83,1200,514.77,0.08,0.979
2023-01-08 00:00:00,VH-008,Mini-Truck,RT-025,Mumbai,Delhi,837.43,High,Clear,25.77,28.56,83.74,93.93,2500,2492.92,2.79,0.804
2023-01-08 06:00:00,VH-023,Bike,RT-029,Chennai,Hyderabad,725.27,Severe,Rain,29.85,30.34,20.72,25.12,80,58.52,0.49,0.811
2023-01-08 12:00:00,VH-004,Truck,RT-002,Bangalore,Chennai,728.62,Low,Fog,21.59,24.7,121.44,122.81,5000,1940.21,3.12,0.864
2023-01-08 18:00:00,VH-029,Van,RT-026,Pune,Hyderabad,212.86,Low,Storm,6.45,7.83,17.74,21.04,1200,1186.3,1.38,0.694
