driver_id,trip_id,overspeed_events,harsh_brake_events,rapid_accel_events,idling_minutes,night_driving_minutes,distraction_score,safety_score,seatbelt_violation_count,camera_distraction_alerts,sharp_turn_events,avg_following_distance_meters,traffic_signal_violations,fatigue_alerts,driving_hours_this_week,eco_score,risk_category
DR_196,TRIP_1,6,2,2,29,3,0.27,81,3,2,6,21.99,3,2,63,69.75,Medium
DR_110,TRIP_2,2,4,1,34,31,0.83,85,0,1,2,15.04,2,1,68,67.32,Low
DR_186,TRIP_3,9,4,0,29,72,0.62,76,2,0,5,5.86,2,2,49,80.53,High
DR_228,TRIP_4,9,3,5,6,21,0.24,77,2,0,4,17.19,4,0,26,66.69,Low
DR_223,TRIP_5,6,4,1,35,4,0.24,79,2,0,2,33.72,4,0,55,54.24,Medium
DR_255,TRIP_6,5,6,2,26,101,0.71,78,3,2,5,21.5,1,0,11,61.39,High
DR_189,TRIP_7,1,2,4,34,81,0.59,85,1,4,4,16.46,3,2,20,70.58,Medium
DR_284,TRIP_8,5,5,4,6,72,0.58,81,1,1,3,14.33,3,2,63,63.91,Medium
DR_7,TRIP_9,4,7,2,37,87,0.11,76,2,2,5,22.89,0,3,18,69.43,Medium
DR_72,TRIP_10,7,6,0,21,62,0.54,79,2,2,6,37.72,0,0,36,70.84,Low
DR_173,TRIP_11,1,6,1,26,33,0.35,85,0,4,1,29.95,3,0,36,85.43,Medium
DR_25,TRIP_12,3,1,3,8,26,0.28,90,3,2,4,11.86,4,2,33,66.83,Medium
DR_86,TRIP_13,10,5,0,34,56,0.75,73,2,4,4,34.72,1,1,35,75.18,Medium
DR_175,TRIP_14,4,5,2,25,89,0.33,81,2,4,4,9.63,3,3,64,98.99,High
DR_81,TRIP_15,4,5,0,15,31,0.62,85,1,1,6,28.4,4,3,67,57.41,Low
DR_127,TRIP_16,5,6,6,37,39,0.82,72,0,3,4,5.65,3,3,47,94.05,High
DR_91,TRIP_17,3,4,3,1,17,0.58,88,3,0,1,37.77,1,0,68,50.8,Medium
DR_228,TRIP_18,0,3,2,38,32,0.27,87,2,1,1,12.8,2,3,44,62.05,Low
DR_290,TRIP_19,3,0,1,7,119,0.74,93,2,0,0,13.39,2,2,61,92.63,High
DR_240,TRIP_20,1,4,3,24,38,0.26,86,2,4,0,26.86,4,2,40,85.79,High
DR_33,TRIP_21,7,2,6,2,45,0.7,81,3,3,3,34.26,2,0,50,77.36,High
DR_290,TRIP_22,3,6,4,6,115,0.3,83,0,2,3,25.76,3,3,30,74.99,Medium
DR_178,TRIP_23,4,2,4,33,102,0.4,81,3,0,5,14.54,4,0,63,61.04,High
DR_299,TRIP_24,7,5,3,13,78,0.69,78,1,1,3,19.06,2,3,59,54.24,Low
DR_28,TRIP_25,0,2,0,25,101,0.56,93,1,0,2,18.62,3,2,10,54.87,High
DR_171,TRIP_26,9,1,1,15,103,0.37,82,2,5,0,25.8,0,2,51,81.61,High
DR_62,TRIP_27,9,7,3,36,72,0.29,68,0,3,5,39.19,4,0,52,58.88,Medium
DR_37,TRIP_28,5,2,0,16,8,0.56,87,0,0,5,27.85,1,0,27,93.64,High
DR_192,TRIP_29,5,0,3,2,43,0.25,89,2,1,0,5.09,4,1,46,71.91,Low
DR_6,TRIP_30,6,4,5,25,45,0.13,76,3,5,1,10.64,4,1,52,53.04,Medium
DR_22,TRIP_31,6,0,0,35,23,0.26,84,1,2,0,14.04,4,1,49,87.65,Medium
DR_83,TRIP_32,9,6,2,10,67,0.79,76,0,4,6,39.04,0,3,53,73.89,Medium
DR_297,TRIP_33,1,7,1,0,16,0.74,89,1,3,2,32.07,1,3,49,60.38,Low
DR_11,TRIP_34,8,8,4,27,40,0.84,69,0,5,2,25.7,2,0,30,63.03,Low
DR_105,TRIP_35,1,0,3,12,0,0.18,93,0,5,4,30.52,1,2,37,55.56,Low
DR_54,TRIP_36,0,8,0,2,105,0.53,90,1,2,3,21.69,4,0,39,64.08,High
DR_3,TRIP_37,4,5,2,6,114,0.83,85,1,5,2,34.32,0,0,21,99.52,Low
DR_113,TRIP_38,2,2,6,26,10,0.52,83,3,1,4,33.71,3,0,45,93.64,Medium
DR_25,TRIP_39,5,6,1,39,75,0.11,77,3,5,4,21.87,4,0,17,83.22,Low
DR_91,TRIP_40,4,7,6,25,65,0.79,74,2,5,3,17.21,3,0,27,76.62,Low
DR_96,TRIP_41,4,7,0,0,100,0.12,86,1,4,0,31.7,3,2,51,52.04,Medium
DR_244,TRIP_42,0,0,4,15,26,0.87,93,0,2,4,14.01,1,3,43,73.36,Low
DR_98,TRIP_43,6,8,0,3,17,0.77,81,1,1,3,12.22,2,2,64,79.34,Low
DR_137,TRIP_44,2,3,4,10,69,0.82,87,1,2,3,13.05,1,1,22,86.77,Medium
DR_177,TRIP_45,6,3,0,12,19,0.65,85,1,2,4,34.03,4,3,43,73.13,Medium
DR_58,TRIP_46,5,3,4,15,89,0.61,82,0,4,1,16.1,4,2,35,74.89,Medium
DR_47,TRIP_47,7,8,5,6,73,0.51,74,3,4,6,15.8,0,1,35,57.66,Low
DR_262,TRIP_48,1,0,4,12,60,0.16,92,0,1,6,24.23,2,2,55,97.83,Medium
DR_59,TRIP_49,0,3,5,1,29,0.25,91,2,4,0,37.29,4,0,50,88.74,Low
DR_156,TRIP_50,10,1,5,18,42,0.61,75,2,5,0,32.73,4,1,47,59.46,High
DR_278,TRIP_51,5,2,2,5,48,0.47,87,0,1,2,18.93,2,3,42,78.71,High
DR_175,TRIP_52,7,3,0,20,55,0.38,82,0,3,1,36.33,0,0,23,57.39,Medium
DR_170,TRIP_53,3,5,1,19,19,0.33,85,3,0,4,33.99,4,2,22,68.47,Low
DR_252,TRIP_54,8,7,4,27,108,0.45,70,2,3,0,15.78,1,3,17,68.93,Low
DR_226,TRIP_55,0,8,5,25,94,0.78,80,2,3,5,17.27,3,1,51,83.34,Low
DR_227,TRIP_56,6,5,5,37,53,0.71,73,2,1,4,32.99,2,0,49,68.05,Medium
DR_276,TRIP_57,5,6,6,14,12,0.76,76,2,3,4,25.23,3,2,36,91.02,Low
DR_254,TRIP_58,0,8,4,34,2,0.46,80,1,4,1,29.56,3,1,60,57.22,High
DR_256,TRIP_59,6,1,4,27,55,0.41,80,2,1,5,33.16,0,0,28,88.17,High
DR_201,TRIP_60,4,7,3,21,22,0.65,79,3,5,6,14.97,3,1,50,93.44,Low
DR_27,TRIP_61,1,6,5,36,50,0.45,79,1,4,0,25.05,1,1,33,77.93,High
