vehicle_id,engine_temp_c,vibration_level,rpm,oil_pressure,coolant_level_pct,last_service_km,current_km,fault_code,breakdown_within_30_days,battery_voltage,engine_load_pct,fuel_rate_lph,tire_pressure_front_left,tire_pressure_front_right,tire_pressure_back_left,tire_pressure_back_right,ambient_temp_c,vehicle_age_years,service_alert_flag,breakdown_history_count
VH_425,70.2,6.09,3145,314,75,115065,118624,P0420,1,12.42,32,7.16,35,30,33,33,36,5,1,0
VH_72,94.7,7.37,1788,264,65,115713,123908,NONE,0,12.0,65,8.79,36,31,32,30,43,7,1,5
VH_442,79.7,2.21,1789,269,60,75655,89349,P0300,0,12.73,99,8.89,35,30,37,36,31,7,1,1
VH_475,70.3,4.39,1141,307,93,141068,144354,P0420,0,12.22,93,7.72,33,33,39,31,19,15,1,3
VH_263,86.5,5.59,891,298,72,114276,127812,NONE,0,13.99,90,3.74,36,32,33,39,40,15,1,0
VH_290,105.4,5.24,1689,258,66,128693,142658,NONE,1,13.43,28,5.17,28,28,35,31,27,11,1,4
VH_397,101.5,6.13,3486,368,67,78874,91055,NONE,1,12.5,46,3.63,35,31,33,31,38,12,1,2
VH_218,100.5,3.75,1700,333,96,78062,87124,P0420,1,14.41,69,8.42,34,35,36,30,29,4,0,5
VH_154,84.4,3.77,1991,339,93,143421,144972,NONE,0,13.54,70,3.86,32,36,38,36,42,8,0,5
VH_254,71.2,4.16,2645,373,81,120685,126278,P0300,0,14.64,94,5.63,33,32,39,35,41,11,0,1
VH_66,108.9,1.01,1866,379,80,81632,96519,P0500,1,13.6,60,9.02,31,31,40,33,32,4,1,1
VH_251,86.7,8.62,2903,275,73,98155,104702,P0500,0,14.34,39,5.85,32,34,33,31,24,15,0,0
VH_360,84.4,3.57,2397,261,63,135958,144312,NONE,0,14.24,53,4.74,33,30,40,32,28,12,1,4
VH_26,99.5,5.34,3182,337,61,55728,60925,NONE,0,13.89,33,7.78,28,29,34,37,39,8,0,5
VH_229,92.2,2.23,3371,344,66,51417,54395,NONE,0,14.08,97,10.08,36,32,32,39,41,6,1,4
VH_307,91.2,4.45,829,275,86,142851,146647,P0300,0,12.07,80,6.19,31,36,30,39,43,2,0,2
VH_122,83.2,1.4,3092,252,88,111804,122058,NONE,0,12.63,38,4.26,29,34,38,35,43,15,0,5
VH_355,78.0,7.94,1746,346,67,108484,121108,P0500,0,12.62,61,8.96,30,31,36,32,45,10,1,1
VH_123,104.5,6.34,2343,261,80,57583,60940,P0171,0,11.8,30,5.01,30,32,39,31,33,9,0,3
VH_219,74.1,4.85,1293,281,91,111958,123193,P0171,0,12.73,72,6.39,35,28,37,37,31,7,0,2
VH_132,96.9,6.71,1484,379,64,73500,86613,NONE,1,14.39,64,7.41,28,28,36,36,38,1,0,3
VH_64,76.1,5.53,1856,348,82,107571,121401,NONE,0,13.16,86,10.05,34,34,36,40,20,12,0,1
VH_275,97.0,1.3,2581,253,91,111481,124225,NONE,0,14.68,99,11.78,33,30,34,38,22,3,1,5
VH_83,89.4,2.99,2148,335,78,141438,150137,P0420,0,12.69,30,10.02,32,34,40,40,36,1,0,5
VH_455,76.8,6.8,2249,394,60,77643,88322,NONE,1,14.28,40,3.86,32,30,36,32,16,6,0,3
VH_173,71.6,3.01,932,386,92,95782,103449,NONE,1,12.94,46,9.99,30,35,36,32,30,4,0,1
VH_104,91.2,4.3,1208,256,100,98228,102034,P0300,0,14.36,37,6.48,31,30,40,30,29,5,0,0
VH_416,104.2,2.11,2329,260,77,96221,97261,NONE,0,12.64,56,6.87,35,36,31,32,21,4,0,0
VH_477,70.7,8.69,2449,344,95,138079,144669,NONE,1,12.52,39,7.54,32,33,37,38,15,6,1,5
VH_243,106.1,3.54,1040,392,63,149857,156398,NONE,1,13.8,64,4.89,31,34,30,32,44,2,1,1
VH_38,86.6,4.68,1807,265,60,134102,143841,P0500,0,13.72,52,3.28,29,29,37,37,43,3,1,0
VH_423,104.1,6.11,2036,316,88,122468,123948,P0420,0,12.86,63,9.3,31,35,30,35,22,13,1,1
VH_468,72.7,5.54,2915,335,95,93571,101901,P0171,0,11.68,56,6.17,29,32,40,38,36,8,1,1
VH_317,104.1,7.44,2140,356,88,87169,99851,P0420,1,13.14,54,10.26,31,36,38,35,41,5,0,1
VH_114,76.4,4.25,2973,299,92,56286,70119,P0300,0,12.44,71,7.23,33,32,35,36,35,7,0,4
VH_39,84.8,5.23,3328,256,95,66699,75674,NONE,0,11.54,99,10.36,31,29,37,36,20,5,1,1
VH_83,93.4,1.15,846,264,67,105701,110180,NONE,1,12.79,73,6.99,31,33,32,33,28,5,0,5
VH_96,88.4,8.88,1845,372,90,110013,118793,NONE,0,12.29,33,11.0,34,32,32,40,25,6,1,5
VH_258,76.6,3.39,2130,283,94,99967,114570,P0420,0,12.31,90,5.26,29,35,37,35,33,4,1,3
VH_487,101.0,2.41,2487,322,80,57769,66508,P0300,0,13.76,92,4.44,29,33,40,35,40,14,1,1
VH_417,80.0,3.75,2450,327,75,102014,105694,P0300,0,12.68,63,7.72,36,33,37,39,19,14,0,1
VH_117,102.1,8.7,2519,369,96,126907,130873,P0420,0,14.18,90,3.47,29,31,35,40,38,12,1,1
VH_374,101.4,3.34,2999,289,65,123566,131127,P0171,1,11.59,40,6.23,29,35,30,32,27,3,1,5
VH_331,98.6,6.7,2052,333,69,142745,150912,NONE,1,12.96,38,3.43,33,33,38,39,33,12,1,1
VH_462,84.8,8.26,2354,253,77,59850,71907,NONE,1,12.87,56,3.98,33,35,31,32,28,12,1,3
VH_93,78.9,8.59,3324,395,81,76040,79087,P0171,0,14.34,21,10.48,33,30,37,35,29,4,0,0
VH_196,91.4,5.09,1825,370,64,144772,155614,P0171,0,11.63,22,10.46,32,30,31,31,16,15,1,0
VH_202,100.7,3.5,2755,282,67,58842,69396,P0420,0,14.77,75,5.63,32,31,38,40,34,15,0,3
VH_370,103.0,5.46,3352,320,72,145078,155253,NONE,1,12.65,77,5.37,30,29,33,39,21,6,1,2
VH_348,96.6,5.97,1273,260,86,84900,86290,P0171,0,11.51,26,8.86,32,35,38,37,19,13,0,1
VH_110,97.0,6.16,1481,337,89,141905,150687,P0500,0,13.81,79,11.62,30,31,40,33,20,2,0,3
VH_176,86.0,4.86,1078,288,80,114917,128541,P0500,1,14.75,79,3.49,36,30,36,35,39,5,1,2
VH_190,71.1,7.67,1168,340,97,115463,123594,P0300,0,11.97,67,10.71,36,28,39,33,41,1,1,5
VH_81,73.3,7.22,1613,280,99,147738,156246,NONE,1,11.87,78,10.22,32,34,37,30,42,13,1,5
VH_83,71.4,8.22,2066,384,61,91961,93350,P0300,0,13.43,54,9.15,35,30,30,36,25,15,1,0
VH_185,86.3,2.72,2729,333,89,71688,86517,P0171,1,12.22,48,7.79,33,31,40,30,44,14,0,3
VH_56,83.4,5.12,1366,302,95,104654,115652,P0300,0,12.83,44,9.64,36,35,33,31,36,14,0,1
VH_442,99.5,3.92,1426,332,69,139295,146109,P0300,1,12.48,84,4.17,31,36,33,34,34,14,1,4
VH_7,90.2,1.14,3346,308,85,131622,143167,P0300,0,13.16,48,9.57,32,34,40,39,25,2,1,5
VH_69,101.1,1.74,2243,326,65,149321,164264,P0300,1,12.48,72,11.5,34,32,36,31,29,2,0,5
VH_308,109.7,5.45,2213,332,98,102540,117452,P0420,0,14.49,97,6.5,36,28,40,30,35,8,0,0
VH_473,98.7,6.31,2608,258,99,67007,74101,P0300,0,14.07,44,10.58,28,30,39,38,28,6,0,4
VH_94,106.9,4.21,1350,287,97,144872,153136,NONE,1,11.67,54,9.49,28,30,40,31,43,11,0,0
VH_375,79.9,7.77,1739,259,73,75769,87332,P0500,0,12.18,41,8.09,32,32,37,30,22,13,0,5
VH_273,83.0,1.58,3384,299,94,75688,77860,NONE,0,13.94,33,11.3,31,35,35,38,36,5,0,0
VH_407,83.1,1.52,3399,285,77,77066,89323,P0171,0,13.99,21,11.87,32,28,36,39,36,5,1,2
VH_292,100.3,7.2,1215,381,63,92205,105931,NONE,0,12.94,37,11.73,30,33,30,34,36,13,0,1
VH_313,83.5,4.42,2894,321,65,75191,83968,P0171,0,12.71,87,8.0,36,31,31,38,36,14,1,0
VH_496,78.7,8.63,2107,294,78,66894,69359,P0300,0,13.13,71,11.74,33,34,36,37,26,9,1,3
VH_460,88.7,3.92,2679,349,88,111389,120320,P0420,0,12.48,49,8.76,34,30,36,40,18,4,1,3
VH_448,81.3,6.35,2400,399,69,115011,117298,NONE,0,13.69,57,6.76,33,31,38,33,35,5,0,3
VH_203,78.7,6.15,1324,339,94,89016,96468,NONE,0,12.44,65,11.56,30,35,34,35,43,13,1,3
VH_228,95.6,5.39,1341,321,69,123418,131099,NONE,0,12.0,26,9.24,29,32,31,36,45,5,0,1
VH_249,86.0,7.34,917,392,79,93460,105300,P0420,0,12.19,62,7.85,28,35,40,30,15,9,1,4
